domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Blocksworld_Prodigy,bw-large-a,9,false,GoalCount,1,12,3.3251369,321955453,746,262,47,true
Blocksworld_Prodigy,bw-large-a,9,false,GoalCount,2,12,0.1491848,92648592,746,262,47,true
Blocksworld_Prodigy,bw-large-a,9,false,GoalCount,3,12,0.1755287,92648592,746,262,47,true
Blocksworld_Prodigy,bw-large-a,9,false,HAdd,1,22,1.5702445,183783251,502,151,47,true
Blocksworld_Prodigy,bw-large-a,9,false,HAdd,2,22,0.1459575,72988600,502,151,47,true
Blocksworld_Prodigy,bw-large-a,9,false,HAdd,3,22,0.1753167,72988600,502,151,47,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Count,1,12,19.0710245,6910382857,42504,15059,47,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Count,2,16,78.7831226,31561046440,165747,70493,47,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Count,3,-1,-1.0,65626653176,364490,143143,47,false
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local-HAdd,1,22,2.0483254,568403017,502,2,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local-HAdd,2,22,1.0175425,509381832,502,2,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local-HAdd,3,22,0.915284,472346712,502,69,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local_Smart-HAdd,1,20,1.117687,346938204,910,101,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local_Smart-HAdd,2,20,0.5322772,304713512,910,101,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local_Smart-HAdd,3,22,0.4292378,240447832,502,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,1,12,0.9947509,61517278,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,2,12,0.0083368,4126368,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,3,12,0.0085611,4126368,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,4,12,0.0080877,4126368,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,1,22,0.4806936,40172162,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,2,22,0.0250421,8840744,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,3,22,0.0273074,8840744,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,4,22,0.0255195,8840744,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Count,1,12,1.5557171,435689419,42501,15055,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Count,2,20,1.8716695,589960680,57625,21286,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Count,3,16,92.9058917,21856632504,1657450,950312,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Count,4,16,1.7630675,407524056,60657,22474,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,1,22,0.5997455,145247023,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,2,22,0.4333211,131818488,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,3,22,0.4044597,130179928,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,4,22,0.3877789,121012296,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,1,20,0.3907571,110373684,533,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,2,20,0.2337643,102781816,533,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,3,20,0.2342305,102389384,533,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,4,20,0.2337834,102782600,533,2,14,true
