domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Blocksworld,prob26,12,false,GoalCount,1,-1,-1.0,99179059904,612846,230900,78,false
Blocksworld,prob26,12,false,HAdd,1,48,22.6074967,10407684968,66746,15799,78,true
Blocksworld,prob26,12,false,HAdd,2,48,22.0817638,10407684968,66746,15799,78,true
Blocksworld,prob26,12,false,HAdd,3,48,22.290454,10407684968,66746,15799,78,true
Blocksworld,prob26,12,false,LM_Count,1,-1,-1.0,61304197712,434498,80649,78,false
Blocksworld,prob26,12,false,LM_Local-HAdd,1,48,65.2193872,26618169496,66715,14212,23,true
Blocksworld,prob26,12,false,LM_Local-HAdd,2,48,63.699988,27885031088,66746,14231,23,true
Blocksworld,prob26,12,false,LM_Local-HAdd,3,48,63.7367097,27864376936,66746,14033,23,true
Blocksworld,prob26,12,false,LM_Local_Smart-HAdd,1,48,24.4864714,11561284992,66746,13678,23,true
Blocksworld,prob26,12,false,LM_Local_Smart-HAdd,2,48,24.5635235,11561301104,66746,13678,23,true
Blocksworld,prob26,12,false,LM_Local_Smart-HAdd,3,48,24.5865965,11565495792,66746,13678,23,true
Blocksworld,prob26,12,true,GoalCount,1,-1,-1.0,48287305768,5937447,2176091,78,false
Blocksworld,prob26,12,true,HAdd,1,48,7.602661,1899991823,66838,15827,78,true
Blocksworld,prob26,12,true,HAdd,2,48,7.0355649,1869706120,66838,15827,78,true
Blocksworld,prob26,12,true,HAdd,3,48,6.9683802,1869706120,66838,15827,78,true
Blocksworld,prob26,12,true,HAdd,4,48,7.3237003,1869706120,66838,15827,78,true
Blocksworld,prob26,12,true,LM_Count,1,-1,-1.0,31445718269,2885394,633238,78,false
Blocksworld,prob26,12,true,LM_Local-HAdd,1,48,32.2772761,6066434684,66838,14281,23,true
Blocksworld,prob26,12,true,LM_Local-HAdd,2,48,19.5101872,5442767664,66838,14068,23,true
Blocksworld,prob26,12,true,LM_Local-HAdd,3,48,20.0771597,5778977928,66838,14281,23,true
Blocksworld,prob26,12,true,LM_Local-HAdd,4,48,20.5364122,5906995648,66838,14281,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,1,48,8.1755906,2253074406,66838,13721,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,2,48,7.6091172,2245614296,66838,13721,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,3,48,7.5205714,2245615256,66838,13721,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,4,48,7.5836951,2245598744,66838,13721,23,true
Blocksworld,prob27,13,false,GoalCount,1,-1,-1.0,99464040656,594348,221892,84,false
Blocksworld,prob27,13,false,HAdd,1,50,51.8160384,23471451224,125999,34920,84,true
Blocksworld,prob27,13,false,HAdd,2,50,51.5596955,23471451224,125999,34920,84,true
Blocksworld,prob27,13,false,HAdd,3,50,51.7186101,23471451224,125999,34920,84,true
Blocksworld,prob27,13,false,LM_Count,1,-1,-1.0,61344188528,446000,65535,84,false
Blocksworld,prob27,13,false,LM_Local-HAdd,1,-1,-1.0,80196193832,2530,370,25,false
Blocksworld,prob27,13,false,LM_Local_Smart-HAdd,1,-1,-1.0,93914259352,85013,24070,25,false
Blocksworld,prob27,13,true,GoalCount,1,-1,-1.0,47205741048,5359966,1945238,84,false
Blocksworld,prob27,13,true,HAdd,1,50,18.3448608,4038886071,125921,34906,84,true
Blocksworld,prob27,13,true,HAdd,2,50,15.8645905,4006834760,125921,34906,84,true
Blocksworld,prob27,13,true,HAdd,3,50,15.8422585,4006834760,125921,34906,84,true
Blocksworld,prob27,13,true,HAdd,4,50,16.417468,4006834760,125921,34906,84,true
Blocksworld,prob27,13,true,LM_Count,1,-1,-1.0,30348708797,2797879,496903,84,false
Blocksworld,prob27,13,true,LM_Local-HAdd,1,50,170.5732954,22670754684,125921,26380,25,true
Blocksworld,prob27,13,true,LM_Local-HAdd,2,50,85.3716514,22648421624,125921,26380,25,true
Blocksworld,prob27,13,true,LM_Local-HAdd,3,50,85.2971007,22644836360,125921,26380,25,true
Blocksworld,prob27,13,true,LM_Local-HAdd,4,50,85.8882258,22649897384,125921,26380,25,true
Blocksworld,prob27,13,true,LM_Local_Smart-HAdd,1,50,47.4604493,10748161990,125921,9584,25,true
Blocksworld,prob27,13,true,LM_Local_Smart-HAdd,2,50,47.3721157,10815498616,125921,9584,25,true
Blocksworld,prob27,13,true,LM_Local_Smart-HAdd,3,50,65.5852578,17225280072,125921,22715,25,true
Blocksworld,prob27,13,true,LM_Local_Smart-HAdd,4,50,46.7701779,10815500056,125921,9584,25,true
Blocksworld,prob28,13,false,GoalCount,1,-1,-1.0,100171326736,583893,223082,86,false
Blocksworld,prob28,13,false,HAdd,1,52,6.1037286,3006148664,15377,4515,86,true
Blocksworld,prob28,13,false,HAdd,2,52,6.0325265,3006148664,15377,4515,86,true
Blocksworld,prob28,13,false,HAdd,3,52,6.1547251,3006148664,15377,4515,86,true
Blocksworld,prob28,13,false,LM_Count,1,-1,-1.0,61691522360,430825,71358,86,false
Blocksworld,prob28,13,false,LM_Local-HAdd,1,52,102.277083,44383664272,15377,91,24,true
Blocksworld,prob28,13,false,LM_Local-HAdd,2,52,99.7215187,44404334520,15377,91,24,true
Blocksworld,prob28,13,false,LM_Local-HAdd,3,52,104.04044,46574234952,15377,91,24,true
Blocksworld,prob28,13,false,LM_Local_Smart-HAdd,1,50,24.0276753,10675977312,42373,5552,24,true
Blocksworld,prob28,13,false,LM_Local_Smart-HAdd,2,50,23.9989107,10675956576,42373,5552,24,true
Blocksworld,prob28,13,false,LM_Local_Smart-HAdd,3,50,23.9517771,10675973872,42373,5552,24,true
Blocksworld,prob28,13,true,GoalCount,1,-1,-1.0,48314312856,5527252,1964215,86,false
Blocksworld,prob28,13,true,HAdd,1,52,2.7463565,542898079,15267,4480,86,true
Blocksworld,prob28,13,true,HAdd,2,52,1.9771859,512589192,15267,4480,86,true
Blocksworld,prob28,13,true,HAdd,3,52,1.9826247,512589192,15267,4480,86,true
Blocksworld,prob28,13,true,HAdd,4,52,2.0114799,512589192,15267,4480,86,true
Blocksworld,prob28,13,true,LM_Count,1,-1,-1.0,27663554813,2248452,452477,86,false
Blocksworld,prob28,13,true,LM_Local-HAdd,1,52,46.2552589,8198277820,15267,69,24,true
Blocksworld,prob28,13,true,LM_Local-HAdd,2,52,30.6701915,8263489920,15267,6,24,true
Blocksworld,prob28,13,true,LM_Local-HAdd,3,52,29.4099097,7877161312,15267,6,24,true
Blocksworld,prob28,13,true,LM_Local-HAdd,4,52,30.76009,8265228464,15267,6,24,true
Blocksworld,prob28,13,true,LM_Local_Smart-HAdd,1,50,14.4931869,2032090830,42373,5671,24,true
Blocksworld,prob28,13,true,LM_Local_Smart-HAdd,2,50,7.8270191,2024733760,42373,5671,24,true
Blocksworld,prob28,13,true,LM_Local_Smart-HAdd,3,50,7.7298456,2024754496,42373,5671,24,true
Blocksworld,prob28,13,true,LM_Local_Smart-HAdd,4,50,7.7365988,2024750272,42373,5671,24,true
Blocksworld,prob29,14,false,GoalCount,1,-1,-1.0,98578201376,568826,207127,84,false
Blocksworld,prob29,14,false,HAdd,1,54,26.0276842,11493379144,68912,14082,84,true
Blocksworld,prob29,14,false,HAdd,2,54,26.2859896,11493379144,68912,14082,84,true
Blocksworld,prob29,14,false,HAdd,3,54,26.5115983,11493379144,68912,14082,84,true
Blocksworld,prob29,14,false,LM_Count,1,-1,-1.0,63125376976,394138,79415,84,false
Blocksworld,prob29,14,false,LM_Local-HAdd,1,-1,-1.0,75239328088,1107,36,24,false
Blocksworld,prob29,14,false,LM_Local_Smart-HAdd,1,50,217.9344178,83725176336,330486,39409,24,true
Blocksworld,prob29,14,false,LM_Local_Smart-HAdd,2,50,243.7300268,95537568224,330486,39409,24,true
Blocksworld,prob29,14,false,LM_Local_Smart-HAdd,3,50,233.9432622,90970122896,330486,39409,24,true
Blocksworld,prob29,14,true,GoalCount,1,-1,-1.0,48516472608,4856027,1779866,84,false
Blocksworld,prob29,14,true,HAdd,1,54,10.6834026,2362054943,68120,13969,84,true
Blocksworld,prob29,14,true,HAdd,2,54,9.4600014,2331763704,68120,13969,84,true
Blocksworld,prob29,14,true,HAdd,3,54,9.5662985,2331763704,68120,13969,84,true
Blocksworld,prob29,14,true,HAdd,4,54,9.6631709,2331763704,68120,13969,84,true
Blocksworld,prob29,14,true,LM_Count,1,-1,-1.0,29508151797,2617137,504601,84,false
Blocksworld,prob29,14,true,LM_Local-HAdd,1,54,103.4923182,21063729348,68120,9429,24,true
Blocksworld,prob29,14,true,LM_Local-HAdd,2,54,78.9472986,20506680024,68120,9429,24,true
Blocksworld,prob29,14,true,LM_Local-HAdd,3,54,78.6708121,20506613976,68120,9429,24,true
Blocksworld,prob29,14,true,LM_Local-HAdd,4,54,78.5974522,20504514264,68120,9429,24,true
Blocksworld,prob29,14,true,LM_Local_Smart-HAdd,1,50,81.680071,17251958582,329213,39213,24,true
Blocksworld,prob29,14,true,LM_Local_Smart-HAdd,2,50,84.1858578,18119971160,329213,39213,24,true
Blocksworld,prob29,14,true,LM_Local_Smart-HAdd,3,50,82.8928932,18119974328,329213,39213,24,true
Blocksworld,prob29,14,true,LM_Local_Smart-HAdd,4,50,72.6037473,15762157600,329213,39213,24,true
Blocksworld,prob30,14,false,GoalCount,1,-1,-1.0,97740537904,605542,197062,90,false
Blocksworld,prob30,14,false,HAdd,1,48,28.7839253,12735696856,73920,15363,90,true
Blocksworld,prob30,14,false,HAdd,2,48,28.5452784,12735696856,73920,15363,90,true
Blocksworld,prob30,14,false,HAdd,3,48,29.1321146,12735696856,73920,15363,90,true
Blocksworld,prob30,14,false,LM_Count,1,-1,-1.0,60663984504,450777,57308,90,false
Blocksworld,prob30,14,false,LM_Local-HAdd,1,-1,-1.0,74742731672,832,29,26,false
Blocksworld,prob30,14,false,LM_Local_Smart-HAdd,1,-1,-1.0,129924876008,331319,79125,26,false
Blocksworld,prob30,14,true,GoalCount,1,-1,-1.0,48926321046,5247452,1758741,90,false
Blocksworld,prob30,14,true,HAdd,1,48,6.296117,1397752559,40801,8096,90,true
Blocksworld,prob30,14,true,HAdd,2,48,5.4189509,1367461304,40801,8096,90,true
Blocksworld,prob30,14,true,HAdd,3,48,5.4562317,1367461304,40801,8096,90,true
Blocksworld,prob30,14,true,HAdd,4,48,5.5506457,1367461304,40801,8096,90,true
Blocksworld,prob30,14,true,LM_Count,1,-1,-1.0,27261970741,2409691,332050,90,false
Blocksworld,prob30,14,true,LM_Local-HAdd,1,48,161.3386752,19742656740,40801,903,26,true
Blocksworld,prob30,14,true,LM_Local-HAdd,2,48,80.4485957,19334059168,40801,135,26,true
Blocksworld,prob30,14,true,LM_Local-HAdd,3,48,76.9275461,18677024680,40801,903,26,true
Blocksworld,prob30,14,true,LM_Local-HAdd,4,48,82.0683149,20554303976,40801,913,26,true
Blocksworld,prob30,14,true,LM_Local_Smart-HAdd,1,-1,-1.0,81539772278,1381488,362615,26,false
Blocksworld,prob31,15,false,GoalCount,1,-1,-1.0,99642860720,571207,197398,93,false
Blocksworld,prob31,15,false,HAdd,1,52,80.1936236,34265718424,167503,41775,93,true
Blocksworld,prob31,15,false,HAdd,2,52,78.7116603,34265718424,167503,41775,93,true
Blocksworld,prob31,15,false,HAdd,3,52,79.815598,34265718424,167503,41775,93,true
Blocksworld,prob31,15,false,LM_Count,1,-1,-1.0,61756223072,394418,67884,93,false
Blocksworld,prob31,15,false,LM_Local-HAdd,1,-1,-1.0,81177947816,367,10,28,false
