domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Freecell,prob-7-1,50,false,GoalCount,1,-1,-1.0,133167655024,67047,19430,4,false
Freecell,prob-7-1,50,false,HAdd,1,-1,-1.0,55090709792,23819,6143,4,false
Freecell,prob-7-1,50,false,LM_Count,1,-1,-1.0,103805773920,46665,12574,4,false
Freecell,prob-7-1,50,false,LM_Local-HAdd,1,-1,-1.0,150209104528,60095,8929,1,false
Freecell,prob-7-1,50,false,LM_Local_Smart-HAdd,1,-1,-1.0,57926733904,24753,6433,1,false
Freecell,prob-7-1,50,true,GoalCount,1,-1,-1.0,175813022423,32,3,4,false
Freecell,prob-7-1,50,true,HAdd,1,-1,-1.0,177232318259,32,3,4,false
Freecell,prob-7-1,50,true,LM_Count,1,-1,-1.0,175728440520,32,3,4,false
Freecell,prob-7-1,50,true,LM_Local-HAdd,1,-1,-1.0,356976849295,57,3,1,false
Freecell,prob-7-1,50,true,LM_Local_Smart-HAdd,1,-1,-1.0,177415649644,32,3,1,false
Freecell,prob-7-2,50,false,GoalCount,1,-1,-1.0,130130005616,66432,18615,4,false
Freecell,prob-7-2,50,false,HAdd,1,-1,-1.0,53797564944,23849,5823,4,false
Freecell,prob-7-2,50,false,LM_Count,1,-1,-1.0,104101710512,45330,12456,4,false
Freecell,prob-7-2,50,false,LM_Local-HAdd,1,-1,-1.0,154131322192,62134,9022,1,false
Freecell,prob-7-2,50,false,LM_Local_Smart-HAdd,1,-1,-1.0,62121200768,26778,6741,1,false
Freecell,prob-7-2,50,true,GoalCount,1,-1,-1.0,167232400419,32,3,4,false
Freecell,prob-7-2,50,true,HAdd,1,-1,-1.0,168652302995,32,3,4,false
Freecell,prob-7-2,50,true,LM_Count,1,-1,-1.0,167146076008,32,3,4,false
Freecell,prob-7-2,50,true,LM_Local-HAdd,1,-1,-1.0,335777625029,58,3,1,false
Freecell,prob-7-2,50,true,LM_Local_Smart-HAdd,1,-1,-1.0,168835636540,32,3,1,false
Freecell,prob-7-3,50,false,GoalCount,1,-1,-1.0,104382382464,63303,15109,4,false
Freecell,prob-7-3,50,false,HAdd,1,-1,-1.0,49893731952,24880,5283,4,false
Freecell,prob-7-3,50,false,LM_Count,1,-1,-1.0,94013746128,46762,11024,4,false
Freecell,prob-7-3,50,false,LM_Local-HAdd,1,-1,-1.0,127826127312,57913,7248,1,false
Freecell,prob-7-3,50,false,LM_Local_Smart-HAdd,1,-1,-1.0,61886610816,29981,6589,1,false
Freecell,prob-7-3,50,true,GoalCount,1,-1,-1.0,167874538741,31,3,4,false
Freecell,prob-7-3,50,true,HAdd,1,-1,-1.0,169307029035,31,3,4,false
Freecell,prob-7-3,50,true,LM_Count,1,-1,-1.0,167801178936,31,3,4,false
Freecell,prob-7-3,50,true,LM_Local-HAdd,1,-1,-1.0,337154983624,58,3,1,false
Freecell,prob-7-3,50,true,LM_Local_Smart-HAdd,1,-1,-1.0,169490366547,31,3,1,false
Freecell,prob-8-1,54,false,GoalCount,1,-1,-1.0,106766536304,44397,15387,4,false
Freecell,prob-8-1,54,false,HAdd,1,-1,-1.0,56520434656,19301,6210,4,false
Freecell,prob-8-1,54,false,LM_Count,1,-1,-1.0,95304966688,35129,11814,4,false
Freecell,prob-8-1,54,false,LM_Local-HAdd,1,-1,-1.0,132859912176,43378,7798,1,false
Freecell,prob-8-1,54,false,LM_Local_Smart-HAdd,1,-1,-1.0,65143339360,22484,7107,1,false
Freecell,prob-8-1,54,true,GoalCount,1,-1,-1.0,152901205788,23,2,4,false
Freecell,prob-8-1,54,true,HAdd,1,-1,-1.0,154640934667,23,2,4,false
Freecell,prob-8-1,54,true,LM_Count,1,-1,-1.0,152826471672,23,2,4,false
Freecell,prob-8-1,54,true,LM_Local-HAdd,1,-1,-1.0,307705873049,37,2,1,false
Freecell,prob-8-1,54,true,LM_Local_Smart-HAdd,1,-1,-1.0,154863707915,23,2,1,false
Freecell,prob-8-2,54,false,GoalCount,1,-1,-1.0,104597829152,43500,14631,4,false
Freecell,prob-8-2,54,false,HAdd,1,-1,-1.0,56535589312,19290,5992,4,false
Freecell,prob-8-2,54,false,LM_Count,1,-1,-1.0,94643043376,35065,11368,4,false
Freecell,prob-8-2,54,false,LM_Local-HAdd,1,-1,-1.0,132949086720,43381,7577,1,false
Freecell,prob-8-2,54,false,LM_Local_Smart-HAdd,1,-1,-1.0,68647429968,23617,7277,1,false
Freecell,prob-8-2,54,true,GoalCount,1,-1,-1.0,141032847033,22,2,4,false
Freecell,prob-8-2,54,true,HAdd,1,-1,-1.0,142762078203,22,2,4,false
Freecell,prob-8-2,54,true,LM_Count,1,-1,-1.0,140948057624,22,2,4,false
Freecell,prob-8-2,54,true,LM_Local-HAdd,1,-1,-1.0,284283289852,39,2,1,false
Freecell,prob-8-2,54,true,LM_Local_Smart-HAdd,1,-1,-1.0,142984853771,22,2,1,false
Freecell,prob-8-3,54,false,GoalCount,1,-1,-1.0,102886489600,52889,14371,4,false
Freecell,prob-8-3,54,false,HAdd,1,-1,-1.0,51488341168,20523,5226,4,false
Freecell,prob-8-3,54,false,LM_Count,1,-1,-1.0,92330014576,40017,10775,4,false
Freecell,prob-8-3,54,false,LM_Local-HAdd,1,-1,-1.0,119176078080,46132,6230,1,false
Freecell,prob-8-3,54,false,LM_Local_Smart-HAdd,1,-1,-1.0,62831891936,24425,6416,1,false
Freecell,prob-8-3,54,true,GoalCount,1,-1,-1.0,141615608865,20,2,4,false
Freecell,prob-8-3,54,true,HAdd,1,-1,-1.0,143355105707,20,2,4,false
Freecell,prob-8-3,54,true,LM_Count,1,-1,-1.0,141541976488,20,2,4,false
Freecell,prob-8-3,54,true,LM_Local-HAdd,1,-1,-1.0,285122691322,39,2,1,false
Freecell,prob-8-3,54,true,LM_Local_Smart-HAdd,1,-1,-1.0,143577886267,20,2,1,false
Freecell,prob-9-1,58,false,GoalCount,1,-1,-1.0,102911771728,40259,14134,4,false
Freecell,prob-9-1,58,false,HAdd,1,-1,-1.0,56149247216,17242,5709,4,false
Freecell,prob-9-1,58,false,LM_Count,1,-1,-1.0,95369565536,31978,11255,4,false
Freecell,prob-9-1,58,false,LM_Local-HAdd,1,-1,-1.0,132731595904,39516,7133,1,false
Freecell,prob-9-1,58,false,LM_Local_Smart-HAdd,1,-1,-1.0,66443221520,20425,6735,1,false
Freecell,prob-9-1,58,true,GoalCount,1,-1,-1.0,190265646210,22,2,4,false
Freecell,prob-9-1,58,true,HAdd,1,-1,-1.0,192343501499,22,2,4,false
Freecell,prob-9-1,58,true,LM_Count,1,-1,-1.0,190190871096,22,2,4,false
Freecell,prob-9-1,58,true,LM_Local-HAdd,1,-1,-1.0,382849703513,37,2,1,false
Freecell,prob-9-1,58,true,LM_Local_Smart-HAdd,1,-1,-1.0,192643168683,22,2,1,false
Freecell,prob-9-2,58,false,GoalCount,1,-1,-1.0,106913408816,38610,14570,4,false
Freecell,prob-9-2,58,false,HAdd,1,-1,-1.0,57139374096,17257,5769,4,false
Freecell,prob-9-2,58,false,LM_Count,1,-1,-1.0,95075413072,30496,11177,4,false
Freecell,prob-9-2,58,false,LM_Local-HAdd,1,-1,-1.0,138690916464,38776,7650,1,false
Freecell,prob-9-2,58,false,LM_Local_Smart-HAdd,1,-1,-1.0,68432907280,20283,6961,1,false
Freecell,prob-9-2,58,true,GoalCount,1,-1,-1.0,174860546106,21,2,4,false
Freecell,prob-9-2,58,true,HAdd,1,-1,-1.0,176922598395,21,2,4,false
Freecell,prob-9-2,58,true,LM_Count,1,-1,-1.0,174770517160,21,2,4,false
Freecell,prob-9-2,58,true,LM_Local-HAdd,1,-1,-1.0,351518300345,38,2,1,false
Freecell,prob-9-2,58,true,LM_Local_Smart-HAdd,1,-1,-1.0,177222275259,21,2,1,false
Freecell,prob-9-3,58,false,GoalCount,1,-1,-1.0,106600001440,43089,14520,4,false
Freecell,prob-9-3,58,false,HAdd,1,-1,-1.0,54281334400,17366,5381,4,false
Freecell,prob-9-3,58,false,LM_Count,1,-1,-1.0,94505867520,33748,10926,4,false
Freecell,prob-9-3,58,false,LM_Local-HAdd,1,-1,-1.0,131715281088,40524,6904,1,false
Freecell,prob-9-3,58,false,LM_Local_Smart-HAdd,1,-1,-1.0,66242289248,20696,6601,1,false
Freecell,prob-9-3,58,true,GoalCount,1,-1,-1.0,174785273605,20,2,4,false
Freecell,prob-9-3,58,true,HAdd,1,-1,-1.0,176863180027,20,2,4,false
Freecell,prob-9-3,58,true,LM_Count,1,-1,-1.0,174711618824,20,2,4,false
Freecell,prob-9-3,58,true,LM_Local-HAdd,1,-1,-1.0,351875366442,39,2,1,false
