domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Logistics,prob1,15,false,GoalCount,1,-1,-1.0,123728937965,105996,73667,45,false
Logistics,prob1,15,false,HAdd,1,22,1.6744052,355599780,579,132,45,true
Logistics,prob1,15,false,HAdd,2,22,0.3194215,245054288,579,132,45,true
Logistics,prob1,15,false,HAdd,3,22,0.3162819,245054288,579,132,45,true
Logistics,prob1,15,false,LM_Count,1,-1,-1.0,113042264948,81204,65564,45,false
Logistics,prob1,15,false,LM_Local-HAdd,1,22,3.6201847,1738649334,579,0,19,true
Logistics,prob1,15,false,LM_Local-HAdd,2,22,2.202634,1650456944,579,0,19,true
Logistics,prob1,15,false,LM_Local-HAdd,3,22,2.7319386,1650351120,579,0,19,true
Logistics,prob1,15,false,LM_Local_Smart-HAdd,1,21,13.8798902,8789934059,10768,0,19,true
Logistics,prob1,15,false,LM_Local_Smart-HAdd,2,21,11.8860403,8747907832,10768,0,19,true
Logistics,prob1,15,false,LM_Local_Smart-HAdd,3,21,11.957807,8747907832,10768,0,19,true
Logistics,prob1,15,true,GoalCount,1,20,9.0068759,2144333220,106495,73905,45,true
Logistics,prob1,15,true,GoalCount,2,20,7.4738258,2064496672,106495,73905,45,true
Logistics,prob1,15,true,GoalCount,3,20,7.4288534,2064496672,106495,73905,45,true
Logistics,prob1,15,true,GoalCount,4,20,7.426173,2064496672,106495,73905,45,true
Logistics,prob1,15,true,HAdd,1,22,0.475347,36667110,309,58,45,true
Logistics,prob1,15,true,HAdd,2,22,0.0176426,5565344,309,58,45,true
Logistics,prob1,15,true,HAdd,3,22,0.0199537,5565344,309,58,45,true
Logistics,prob1,15,true,HAdd,4,22,0.0206161,5565344,309,58,45,true
Logistics,prob1,15,true,LM_Count,1,20,33.6450358,8121418441,250150,252998,45,true
Logistics,prob1,15,true,LM_Count,2,23,0.0436301,10205672,951,284,45,true
Logistics,prob1,15,true,LM_Count,3,21,0.0968853,20286640,2029,615,45,true
Logistics,prob1,15,true,LM_Count,4,21,0.0422111,8030416,988,244,45,true
Logistics,prob1,15,true,LM_Local-HAdd,1,22,0.5873457,112490377,309,0,19,true
Logistics,prob1,15,true,LM_Local-HAdd,2,22,0.3457437,88298112,309,0,19,true
Logistics,prob1,15,true,LM_Local-HAdd,3,22,0.3432162,88314624,309,0,19,true
Logistics,prob1,15,true,LM_Local-HAdd,4,22,0.341262,88323456,309,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,1,24,1.0546485,210771438,6995,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,2,24,0.8907544,194918920,6995,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,3,24,0.8633752,194918920,6995,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,4,24,0.8757676,194918984,6995,0,19,true
Logistics,prob2,15,false,GoalCount,1,19,117.857384,88494662896,79043,52738,41,true
Logistics,prob2,15,false,GoalCount,2,19,117.7436651,88494662896,79043,52738,41,true
Logistics,prob2,15,false,GoalCount,3,19,117.3091976,88494662896,79043,52738,41,true
Logistics,prob2,15,false,HAdd,1,19,0.2113444,159701232,364,86,41,true
Logistics,prob2,15,false,HAdd,2,19,0.2088675,159701232,364,86,41,true
Logistics,prob2,15,false,HAdd,3,19,0.2082598,159701232,364,86,41,true
Logistics,prob2,15,false,LM_Count,1,-1,-1.0,110612298092,105953,63615,41,false
Logistics,prob2,15,false,LM_Local-HAdd,1,19,1.6540752,899630096,364,0,17,true
Logistics,prob2,15,false,LM_Local-HAdd,2,19,1.277078,899604752,364,0,17,true
Logistics,prob2,15,false,LM_Local-HAdd,3,19,1.2662925,899646608,364,0,17,true
Logistics,prob2,15,false,LM_Local_Smart-HAdd,1,21,2.5908827,1890611624,3297,327,17,true
Logistics,prob2,15,false,LM_Local_Smart-HAdd,2,21,2.5443734,1890613736,3297,327,17,true
Logistics,prob2,15,false,LM_Local_Smart-HAdd,3,21,2.5379196,1890611624,3297,327,17,true
Logistics,prob2,15,true,GoalCount,1,19,6.9414832,1545993294,79045,52739,41,true
Logistics,prob2,15,true,GoalCount,2,19,5.3945465,1473599520,79045,52739,41,true
Logistics,prob2,15,true,GoalCount,3,19,5.3657046,1473599520,79045,52739,41,true
