domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Logistics,prob21,29,false,GoalCount,1,-1,-1.0,134623443904,128481,33283,95,false
Logistics,prob21,29,false,HAdd,1,50,12.7444426,8986923432,16671,2167,95,true
Logistics,prob21,29,false,HAdd,2,50,12.7454147,8986923432,16671,2167,95,true
Logistics,prob21,29,false,HAdd,3,50,12.6983351,8986923432,16671,2167,95,true
Logistics,prob21,29,false,LM_Count,1,-1,-1.0,111185019592,101983,27831,95,false
Logistics,prob21,29,false,LM_Local-HAdd,1,-1,-1.0,108748508184,1906,170,38,false
Logistics,prob21,29,false,LM_Local_Smart-HAdd,1,-1,-1.0,120734621096,129234,28922,38,false
Logistics,prob21,29,true,GoalCount,1,-1,-1.0,32919157833,1301985,419486,95,false
Logistics,prob21,29,true,HAdd,1,49,4.9172282,907426131,26257,3545,95,true
Logistics,prob21,29,true,HAdd,2,49,4.3550671,877364176,26257,3545,95,true
Logistics,prob21,29,true,HAdd,3,49,4.5007148,877364176,26257,3545,95,true
Logistics,prob21,29,true,HAdd,4,49,4.5112212,877364176,26257,3545,95,true
Logistics,prob21,29,true,LM_Count,1,-1,-1.0,28252393845,957507,313268,95,false
Logistics,prob21,29,true,LM_Local-HAdd,1,-1,-1.0,33071231942,19801,2558,38,false
Logistics,prob21,29,true,LM_Local_Smart-HAdd,1,-1,-1.0,37733698040,822142,238926,38,false
Logistics,prob22,29,false,GoalCount,1,-1,-1.0,140145946320,104250,34873,143,false
Logistics,prob22,29,false,HAdd,1,84,5.141245,3736468360,7705,844,143,true
Logistics,prob22,29,false,HAdd,2,84,5.1194315,3736468360,7705,844,143,true
Logistics,prob22,29,false,HAdd,3,84,5.127609,3736468360,7705,844,143,true
Logistics,prob22,29,false,LM_Count,1,-1,-1.0,102749571336,146437,26161,143,false
Logistics,prob22,29,false,LM_Local-HAdd,1,85,155.8228014,79813154544,2909,11,62,true
Logistics,prob22,29,false,LM_Local-HAdd,2,85,163.1755594,80820948080,2909,0,62,true
Logistics,prob22,29,false,LM_Local-HAdd,3,85,161.3958309,80968609504,2909,11,62,true
Logistics,prob22,29,false,LM_Local_Smart-HAdd,1,-1,-1.0,109769107560,170268,26001,62,false
Logistics,prob22,29,true,GoalCount,1,-1,-1.0,33415513435,984490,415318,143,false
Logistics,prob22,29,true,HAdd,1,83,1.3901662,182626563,4578,389,143,true
Logistics,prob22,29,true,HAdd,2,83,0.7282676,152573616,4578,389,143,true
Logistics,prob22,29,true,HAdd,3,83,0.7229873,152573616,4578,389,143,true
Logistics,prob22,29,true,HAdd,4,83,0.7360723,152573616,4578,389,143,true
Logistics,prob22,29,true,LM_Count,1,-1,-1.0,25760084200,1193734,239816,143,false
Logistics,prob22,29,true,LM_Local-HAdd,1,83,85.1266361,10690345526,4578,0,62,true
Logistics,prob22,29,true,LM_Local-HAdd,2,83,51.5724443,10651126456,4578,0,62,true
Logistics,prob22,29,true,LM_Local-HAdd,3,83,45.9904628,10670576872,4578,0,62,true
Logistics,prob22,29,true,LM_Local-HAdd,4,83,46.5440655,10670577592,4578,0,62,true
Logistics,prob22,29,true,LM_Local_Smart-HAdd,1,-1,-1.0,36439518216,859925,199650,62,false
Logistics,prob23,37,false,GoalCount,1,-1,-1.0,137010616496,122288,22862,119,false
Logistics,prob23,37,false,HAdd,1,90,3.4397821,1948303896,5120,278,119,true
Logistics,prob23,37,false,HAdd,2,90,3.3932631,1948303896,5120,278,119,true
Logistics,prob23,37,false,HAdd,3,90,3.340865,1948303896,5120,278,119,true
Logistics,prob23,37,false,LM_Count,1,-1,-1.0,108061041608,105163,16915,119,false
Logistics,prob23,37,false,LM_Local-HAdd,1,-1,-1.0,95891218520,169338,14240,44,false
Logistics,prob23,37,false,LM_Local_Smart-HAdd,1,-1,-1.0,102073652776,186440,16137,44,false
Logistics,prob23,37,true,GoalCount,1,-1,-1.0,33733258638,786210,196110,119,false
Logistics,prob23,37,true,HAdd,1,86,27.0937449,5023810387,99406,7629,119,true
Logistics,prob23,37,true,HAdd,2,86,27.4064618,4993757936,99406,7629,119,true
Logistics,prob23,37,true,HAdd,3,86,27.5840437,4993757936,99406,7629,119,true
Logistics,prob23,37,true,HAdd,4,86,27.7372208,4993757936,99406,7629,119,true
Logistics,prob23,37,true,LM_Count,1,-1,-1.0,29732104400,732257,127463,119,false
Logistics,prob23,37,true,LM_Local-HAdd,1,-1,-1.0,34677270686,668277,58345,44,false
Logistics,prob23,37,true,LM_Local_Smart-HAdd,1,-1,-1.0,36464928248,709930,62132,44,false
Logistics,prob24,37,false,GoalCount,1,-1,-1.0,144657442096,148239,24204,108,false
Logistics,prob24,37,false,HAdd,1,74,3.1938126,1873342008,5616,274,108,true
Logistics,prob24,37,false,HAdd,2,74,3.2553389,1873342008,5616,274,108,true
Logistics,prob24,37,false,HAdd,3,74,3.2649311,1873342008,5616,274,108,true
Logistics,prob24,37,false,LM_Count,1,-1,-1.0,121249990808,103849,19733,108,false
Logistics,prob24,37,false,LM_Local-HAdd,1,-1,-1.0,99083451000,149091,10822,41,false
Logistics,prob24,37,false,LM_Local_Smart-HAdd,1,-1,-1.0,109733862936,231771,17591,41,false
Logistics,prob24,37,true,GoalCount,1,-1,-1.0,33335380373,986109,196513,108,false
Logistics,prob24,37,true,HAdd,1,72,1.2470363,179016179,2651,129,108,true
