domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Logistics_ThirdQ,prob41,51,false,GoalCount,1,-1,-1.0,150936424704,153402,15687,171,false
Logistics_ThirdQ,prob41,51,false,HAdd,1,-1,-1.0,93297635336,173449,7801,171,false
Logistics_ThirdQ,prob41,51,false,LM_Count,1,-1,-1.0,123763569256,106477,12204,171,false
Logistics_ThirdQ,prob41,51,false,LM_Local-HAdd,1,-1,-1.0,76124375448,81950,3167,65,false
Logistics_ThirdQ,prob41,51,false,LM_Local_Smart-HAdd,1,-1,-1.0,98603660472,181344,8182,65,false
Logistics_ThirdQ,prob41,51,true,GoalCount,1,-1,-1.0,23304874326,517986,60839,171,false
Logistics_ThirdQ,prob41,51,true,HAdd,1,-1,-1.0,30344745667,313987,14199,171,false
Logistics_ThirdQ,prob41,51,true,LM_Count,1,-1,-1.0,23574515600,473056,45552,171,false
Logistics_ThirdQ,prob41,51,true,LM_Local-HAdd,1,-1,-1.0,22659419350,88702,3641,65,false
Logistics_ThirdQ,prob41,51,true,LM_Local_Smart-HAdd,1,-1,-1.0,34249201144,353176,15981,65,false
Logistics_ThirdQ,prob42,51,false,GoalCount,1,-1,-1.0,150148666496,151356,15542,168,false
Logistics_ThirdQ,prob42,51,false,HAdd,1,124,174.4334644,91317204136,158061,7682,168,true
Logistics_ThirdQ,prob42,51,false,HAdd,2,124,176.0327078,91317204136,158061,7682,168,true
Logistics_ThirdQ,prob42,51,false,HAdd,3,124,175.6021444,91317204136,158061,7682,168,true
Logistics_ThirdQ,prob42,51,false,LM_Count,1,-1,-1.0,123487696752,106890,12490,168,false
Logistics_ThirdQ,prob42,51,false,LM_Local-HAdd,1,-1,-1.0,84636574168,124813,4804,64,false
Logistics_ThirdQ,prob42,51,false,LM_Local_Smart-HAdd,1,-1,-1.0,99286312888,171297,8231,64,false
Logistics_ThirdQ,prob42,51,true,GoalCount,1,-1,-1.0,23551773830,509014,61092,168,false
Logistics_ThirdQ,prob42,51,true,HAdd,1,-1,-1.0,28777539187,315339,13574,168,false
Logistics_ThirdQ,prob42,51,true,LM_Count,1,-1,-1.0,21344931768,372569,50126,168,false
Logistics_ThirdQ,prob42,51,true,LM_Local-HAdd,1,-1,-1.0,23420739662,241413,10238,64,false
Logistics_ThirdQ,prob42,51,true,LM_Local_Smart-HAdd,1,-1,-1.0,32414530440,352901,15343,64,false
Logistics_ThirdQ,prob43,51,false,GoalCount,1,-1,-1.0,151592281408,137358,15741,175,false
Logistics_ThirdQ,prob43,51,false,HAdd,1,-1,-1.0,89109179272,174783,7035,175,false
Logistics_ThirdQ,prob43,51,false,LM_Count,1,-1,-1.0,125336547296,101036,12824,175,false
Logistics_ThirdQ,prob43,51,false,LM_Local-HAdd,1,-1,-1.0,80223484000,99628,3896,65,false
Logistics_ThirdQ,prob43,51,false,LM_Local_Smart-HAdd,1,-1,-1.0,92362372568,178996,7234,65,false
Logistics_ThirdQ,prob43,51,true,GoalCount,1,-1,-1.0,23615567274,472142,60924,175,false
Logistics_ThirdQ,prob43,51,true,HAdd,1,137,57.3527948,9241737391,99754,3471,175,true
Logistics_ThirdQ,prob43,51,true,HAdd,2,137,57.1580357,9207718416,99754,3471,175,true
Logistics_ThirdQ,prob43,51,true,HAdd,3,137,57.6709117,9207718416,99754,3471,175,true
Logistics_ThirdQ,prob43,51,true,HAdd,4,137,58.2334024,9207718416,99754,3471,175,true
Logistics_ThirdQ,prob43,51,true,LM_Count,1,-1,-1.0,24333699848,339243,51314,175,false
Logistics_ThirdQ,prob43,51,true,LM_Local-HAdd,1,-1,-1.0,23107641334,39709,1263,65,false
Logistics_ThirdQ,prob43,51,true,LM_Local_Smart-HAdd,1,-1,-1.0,33935337560,357721,14129,65,false
Logistics_ThirdQ,prob44,51,false,GoalCount,1,-1,-1.0,149965339344,150989,15537,169,false
Logistics_ThirdQ,prob44,51,false,HAdd,1,129,7.6033646,3521177640,7667,257,169,true
Logistics_ThirdQ,prob44,51,false,HAdd,2,129,7.7571875,3521177640,7667,257,169,true
Logistics_ThirdQ,prob44,51,false,HAdd,3,129,7.741384,3521177640,7667,257,169,true
Logistics_ThirdQ,prob44,51,false,LM_Count,1,-1,-1.0,122075175576,111135,11947,169,false
