domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Blocksworld,prob1,4,false,GoalCount,1,6,0.0091364,5856064,55,27,20,true
Blocksworld,prob1,4,false,GoalCount,2,6,0.0085571,5856064,55,27,20,true
Blocksworld,prob1,4,false,GoalCount,3,6,0.0100096,5856064,55,27,20,true
Blocksworld,prob1,4,false,HAdd,1,6,0.0072895,3062912,23,11,20,true
Blocksworld,prob1,4,false,HAdd,2,6,0.0059544,3062912,23,11,20,true
Blocksworld,prob1,4,false,HAdd,3,6,0.0068647,3062912,23,11,20,true
Blocksworld,prob1,4,false,LM_Count,1,6,0.0112647,5935264,42,25,20,true
Blocksworld,prob1,4,false,LM_Count,2,10,0.0141563,7749112,50,33,20,true
Blocksworld,prob1,4,false,LM_Count,3,10,0.0138441,7694032,50,33,20,true
Blocksworld,prob1,4,false,LM_Local-HAdd,1,6,0.0278853,12004928,23,0,6,true
Blocksworld,prob1,4,false,LM_Local-HAdd,2,6,0.0277832,12710192,23,0,6,true
Blocksworld,prob1,4,false,LM_Local-HAdd,3,6,0.0309936,11990592,23,0,6,true
Blocksworld,prob1,4,false,LM_Local_Smart-HAdd,1,6,0.0226879,10552080,23,0,6,true
Blocksworld,prob1,4,false,LM_Local_Smart-HAdd,2,6,0.0262347,11930784,23,0,6,true
Blocksworld,prob1,4,false,LM_Local_Smart-HAdd,3,6,0.0221569,10357504,23,0,6,true
Blocksworld,prob1,4,true,GoalCount,1,6,1.0529627,53906692,55,27,20,true
Blocksworld,prob1,4,true,GoalCount,2,6,0.0005973,199744,55,27,20,true
Blocksworld,prob1,4,true,GoalCount,3,6,0.0005783,199744,55,27,20,true
Blocksworld,prob1,4,true,GoalCount,4,6,0.0006722,199744,55,27,20,true
Blocksworld,prob1,4,true,HAdd,1,6,0.4767104,30989705,23,11,20,true
Blocksworld,prob1,4,true,HAdd,2,6,0.0021625,697696,23,11,20,true
Blocksworld,prob1,4,true,HAdd,3,6,0.0026847,697696,23,11,20,true
Blocksworld,prob1,4,true,HAdd,4,6,0.002088,697696,23,11,20,true
Blocksworld,prob1,4,true,LM_Count,1,6,0.2648873,8750720,42,25,20,true
Blocksworld,prob1,4,true,LM_Count,2,10,0.0010738,301672,50,33,20,true
Blocksworld,prob1,4,true,LM_Count,3,10,0.0010927,256352,50,33,20,true
Blocksworld,prob1,4,true,LM_Count,4,10,0.0010639,256352,50,33,20,true
Blocksworld,prob1,4,true,LM_Local-HAdd,1,6,0.2209992,25071600,23,0,6,true
Blocksworld,prob1,4,true,LM_Local-HAdd,2,6,0.0139595,4668640,23,0,6,true
Blocksworld,prob1,4,true,LM_Local-HAdd,3,6,0.0158301,4568784,23,0,6,true
