domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Blocksworld_Prodigy,bw-large-a,9,false,GoalCount,1,12,3.2991901,321957725,746,262,47,true
Blocksworld_Prodigy,bw-large-a,9,false,GoalCount,2,12,0.151855,92648592,746,262,47,true
Blocksworld_Prodigy,bw-large-a,9,false,GoalCount,3,12,0.1438952,92648592,746,262,47,true
Blocksworld_Prodigy,bw-large-a,9,false,HAdd,1,22,1.511781,183851331,502,151,47,true
Blocksworld_Prodigy,bw-large-a,9,false,HAdd,2,22,0.136974,72988600,502,151,47,true
Blocksworld_Prodigy,bw-large-a,9,false,HAdd,3,22,0.1437035,72988600,502,151,47,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Count,1,12,1.6643237,657166448,3948,1351,47,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Count,2,-1,-1.0,69236517368,360939,153823,47,false
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local-HAdd,1,22,2.0659642,609157531,502,69,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local-HAdd,2,22,0.9770952,485157096,502,2,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local-HAdd,3,22,1.0609179,553163720,502,69,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local_Smart-HAdd,1,22,1.0315891,281499990,502,2,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local_Smart-HAdd,2,22,0.4311023,240186712,502,2,14,true
Blocksworld_Prodigy,bw-large-a,9,false,LM_Local_Smart-HAdd,3,22,0.4321543,240186712,502,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,1,12,1.0012789,61510334,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,2,12,0.0082101,4126368,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,3,12,0.0083801,4126368,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,GoalCount,4,12,0.0093546,4126368,743,261,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,1,22,0.4910947,40188626,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,2,22,0.0267031,8840744,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,3,22,0.0263458,8840744,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,HAdd,4,22,0.0280853,8840744,337,85,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Count,1,12,0.3491349,42977706,3458,1124,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Count,2,16,33.5159513,9021270864,730780,364588,47,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Count,3,-1,-1.0,27523737712,2134138,1302421,47,false
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,1,22,4.8542202,148852097,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,2,22,0.4268172,120976488,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,3,22,0.4328876,135814568,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local-HAdd,4,22,0.3981012,124946216,337,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,1,20,1.1496996,110774846,533,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,2,20,0.2735675,103175848,533,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,3,20,0.2396105,103175464,533,2,14,true
Blocksworld_Prodigy,bw-large-a,9,true,LM_Local_Smart-HAdd,4,20,0.240532,103569464,533,2,14,true
Blocksworld_Prodigy,bw-large-b,11,false,GoalCount,1,18,8.9851817,5698269264,39707,13699,61,true
Blocksworld_Prodigy,bw-large-b,11,false,GoalCount,2,18,8.583294,5698269264,39707,13699,61,true
Blocksworld_Prodigy,bw-large-b,11,false,GoalCount,3,18,8.6195835,5698269264,39707,13699,61,true
Blocksworld_Prodigy,bw-large-b,11,false,HAdd,1,28,0.3695643,201436312,1077,371,61,true
Blocksworld_Prodigy,bw-large-b,11,false,HAdd,2,28,0.3710618,201436312,1077,371,61,true
Blocksworld_Prodigy,bw-large-b,11,false,HAdd,3,28,0.3717679,201436312,1077,371,61,true
Blocksworld_Prodigy,bw-large-b,11,false,LM_Count,1,-1,-1.0,66436250862,371874,115910,61,false
Blocksworld_Prodigy,bw-large-b,11,false,LM_Local-HAdd,1,28,3.6660393,1557281272,1077,6,18,true
Blocksworld_Prodigy,bw-large-b,11,false,LM_Local-HAdd,2,28,3.0529208,1549922776,1077,6,18,true
Blocksworld_Prodigy,bw-large-b,11,false,LM_Local-HAdd,3,28,3.5214611,1835511624,1077,6,18,true
Blocksworld_Prodigy,bw-large-b,11,false,LM_Local_Smart-HAdd,1,26,5.1956825,2814057280,3312,245,18,true
Blocksworld_Prodigy,bw-large-b,11,false,LM_Local_Smart-HAdd,2,26,5.2047907,2799581488,3312,245,18,true
Blocksworld_Prodigy,bw-large-b,11,false,LM_Local_Smart-HAdd,3,26,5.0096469,2714656768,3312,580,18,true
Blocksworld_Prodigy,bw-large-b,11,true,GoalCount,1,18,1.7877246,327248297,39707,13699,61,true
Blocksworld_Prodigy,bw-large-b,11,true,GoalCount,2,18,0.6967539,272518000,39707,13699,61,true
Blocksworld_Prodigy,bw-large-b,11,true,GoalCount,3,18,0.6917048,272518000,39707,13699,61,true
Blocksworld_Prodigy,bw-large-b,11,true,GoalCount,4,18,0.6979515,272518000,39707,13699,61,true
Blocksworld_Prodigy,bw-large-b,11,true,HAdd,1,28,0.7639112,55300068,878,270,61,true
Blocksworld_Prodigy,bw-large-b,11,true,HAdd,2,28,0.0872635,25017704,878,270,61,true
Blocksworld_Prodigy,bw-large-b,11,true,HAdd,3,28,0.0932167,25017704,878,270,61,true
Blocksworld_Prodigy,bw-large-b,11,true,HAdd,4,28,0.0893907,25017704,878,270,61,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Count,1,-1,-1.0,29829155442,2569565,888628,61,false
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local-HAdd,1,28,5.638275,320142963,878,6,18,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local-HAdd,2,28,1.0962805,299925096,878,6,18,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local-HAdd,3,28,1.0190367,292601928,878,6,18,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local-HAdd,4,28,1.0198228,294285656,878,6,18,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local_Smart-HAdd,1,26,4.9987567,699171414,2717,6,18,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local_Smart-HAdd,2,26,1.9331935,637242928,2717,6,18,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local_Smart-HAdd,3,26,1.6524641,556442768,2717,6,18,true
Blocksworld_Prodigy,bw-large-b,11,true,LM_Local_Smart-HAdd,4,26,1.6484035,556438832,2717,6,18,true
Blocksworld_Prodigy,bw-large-c,15,false,GoalCount,1,-1,-1.0,98781034592,663040,188738,93,false
Blocksworld_Prodigy,bw-large-c,15,false,HAdd,1,38,1.2396254,612002328,2875,848,93,true
Blocksworld_Prodigy,bw-large-c,15,false,HAdd,2,38,1.2539743,612002328,2875,848,93,true
Blocksworld_Prodigy,bw-large-c,15,false,HAdd,3,38,1.2469021,612002328,2875,848,93,true
Blocksworld_Prodigy,bw-large-c,15,false,LM_Count,1,-1,-1.0,64017130992,393640,69953,93,false
Blocksworld_Prodigy,bw-large-c,15,false,LM_Local-HAdd,1,38,19.9729395,8496825528,2886,16,27,true
Blocksworld_Prodigy,bw-large-c,15,false,LM_Local-HAdd,2,38,18.8534926,8497766504,2886,16,27,true
Blocksworld_Prodigy,bw-large-c,15,false,LM_Local-HAdd,3,38,18.2174915,8442913272,2886,16,27,true
Blocksworld_Prodigy,bw-large-c,15,false,LM_Local_Smart-HAdd,1,-1,-1.0,79052365720,14928,4679,27,false
Blocksworld_Prodigy,bw-large-c,15,true,GoalCount,1,-1,-1.0,44861884783,5156900,1442793,93,false
Blocksworld_Prodigy,bw-large-c,15,true,HAdd,1,38,1.2225329,138898388,2818,836,93,true
Blocksworld_Prodigy,bw-large-c,15,true,HAdd,2,38,0.445672,108611656,2818,836,93,true
Blocksworld_Prodigy,bw-large-c,15,true,HAdd,3,38,0.4244702,108611656,2818,836,93,true
Blocksworld_Prodigy,bw-large-c,15,true,HAdd,4,38,0.4377604,108611656,2818,836,93,true
Blocksworld_Prodigy,bw-large-c,15,true,LM_Count,1,-1,-1.0,28202339737,2163375,411982,93,false
Blocksworld_Prodigy,bw-large-c,15,true,LM_Local-HAdd,1,38,15.0965674,1827328595,2818,18,27,true
Blocksworld_Prodigy,bw-large-c,15,true,LM_Local-HAdd,2,38,6.4006672,1714063256,2818,18,27,true
Blocksworld_Prodigy,bw-large-c,15,true,LM_Local-HAdd,3,38,6.3544792,1711405112,2818,18,27,true
Blocksworld_Prodigy,bw-large-c,15,true,LM_Local-HAdd,4,38,6.7450406,1806024104,2818,18,27,true
Blocksworld_Prodigy,bw-large-c,15,true,LM_Local_Smart-HAdd,1,-1,-1.0,47547820766,640021,198542,27,false
Blocksworld_Prodigy,bw-large-d,19,false,GoalCount,1,-1,-1.0,102385300736,581357,158141,120,false
Blocksworld_Prodigy,bw-large-d,19,false,HAdd,1,56,13.3507609,5952902360,24812,5325,120,true
Blocksworld_Prodigy,bw-large-d,19,false,HAdd,2,56,13.3261307,5952902360,24812,5325,120,true
Blocksworld_Prodigy,bw-large-d,19,false,HAdd,3,56,13.7848044,5952902360,24812,5325,120,true
Blocksworld_Prodigy,bw-large-d,19,false,LM_Count,1,-1,-1.0,64650106368,334560,60054,120,false
Blocksworld_Prodigy,bw-large-d,19,false,LM_Local-HAdd,1,56,97.1997254,38517015720,24812,3767,35,true
Blocksworld_Prodigy,bw-large-d,19,false,LM_Local-HAdd,2,56,96.1012718,39193277896,24812,3767,35,true
Blocksworld_Prodigy,bw-large-d,19,false,LM_Local-HAdd,3,56,94.6311972,38713105064,24812,4616,35,true
Blocksworld_Prodigy,bw-large-d,19,false,LM_Local_Smart-HAdd,1,-1,-1.0,78971350920,274207,74090,34,false
Blocksworld_Prodigy,bw-large-d,19,true,GoalCount,1,-1,-1.0,45062991158,3945150,997826,120,false
Blocksworld_Prodigy,bw-large-d,19,true,HAdd,1,54,3.0476397,390412836,6815,1313,120,true
