domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Blocksworld,prob26,12,false,GoalCount,1,-1,-1.0,107648943344,665095,250093,78,false
Blocksworld,prob26,12,false,HAdd,1,48,22.1632272,10407684968,66746,15799,78,true
Blocksworld,prob26,12,false,HAdd,2,48,23.2833355,10407684968,66746,15799,78,true
Blocksworld,prob26,12,false,HAdd,3,48,23.3798088,10407684968,66746,15799,78,true
Blocksworld,prob26,12,false,LM_Count,1,-1,-1.0,73525035912,541949,93415,78,false
Blocksworld,prob26,12,false,LM_Local-HAdd,1,48,57.1899908,25589121720,66746,14033,23,true
Blocksworld,prob26,12,false,LM_Local-HAdd,2,48,58.6296907,26835343568,66746,14231,23,true
Blocksworld,prob26,12,false,LM_Local-HAdd,3,48,62.2686864,28207467808,66746,14231,23,true
Blocksworld,prob26,12,false,LM_Local_Smart-HAdd,1,48,25.0462413,11557179096,66746,13678,23,true
Blocksworld,prob26,12,false,LM_Local_Smart-HAdd,2,48,24.8175557,11565500592,66746,13678,23,true
Blocksworld,prob26,12,false,LM_Local_Smart-HAdd,3,48,24.682298,11557093536,66746,13678,23,true
Blocksworld,prob26,12,true,GoalCount,1,-1,-1.0,49220644245,6068015,2217404,78,false
Blocksworld,prob26,12,true,HAdd,1,48,13.89786,1900006883,66838,15827,78,true
Blocksworld,prob26,12,true,HAdd,2,48,8.7631653,1869706120,66838,15827,78,true
Blocksworld,prob26,12,true,HAdd,3,48,8.4573086,1869706120,66838,15827,78,true
Blocksworld,prob26,12,true,HAdd,4,48,8.7387265,1869706120,66838,15827,78,true
Blocksworld,prob26,12,true,LM_Count,1,-1,-1.0,27395502372,2526495,582161,78,false
Blocksworld,prob26,12,true,LM_Local-HAdd,1,48,36.9660531,5859072262,66838,14273,23,true
Blocksworld,prob26,12,true,LM_Local-HAdd,2,48,20.8775184,5647787400,66838,14281,23,true
Blocksworld,prob26,12,true,LM_Local-HAdd,3,48,25.0575754,5515539808,66838,14281,23,true
Blocksworld,prob26,12,true,LM_Local-HAdd,4,48,21.84702,6042247208,66838,14273,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,1,48,13.3862636,2254230851,66838,13721,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,2,48,8.0791654,2246750072,66838,13721,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,3,48,7.8730122,2246766824,66838,13721,23,true
Blocksworld,prob26,12,true,LM_Local_Smart-HAdd,4,48,7.9111765,2246766424,66838,13721,23,true
Blocksworld,prob27,13,false,GoalCount,1,-1,-1.0,110641922880,656823,246852,84,false
Blocksworld,prob27,13,false,HAdd,1,50,49.484263,23471451224,125999,34920,84,true
Blocksworld,prob27,13,false,HAdd,2,50,51.7005148,23471451224,125999,34920,84,true
Blocksworld,prob27,13,false,HAdd,3,50,51.8369887,23471451224,125999,34920,84,true
Blocksworld,prob27,13,false,LM_Count,1,-1,-1.0,74399151624,469093,94954,84,false
Blocksworld,prob27,13,false,LM_Local-HAdd,1,-1,-1.0,82645562792,10455,2157,25,false
