domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Blocksworld_ThirdQ,prob51,25,false,GoalCount,1,-1,-1.0,95931178876,374929,132043,164,false
Blocksworld_ThirdQ,prob51,25,false,HAdd,1,-1,-1.0,56333441715,220309,20100,164,false
Blocksworld_ThirdQ,prob51,25,false,LM_Count,1,-1,-1.0,56356992633,328494,25781,164,false
Blocksworld_ThirdQ,prob51,25,false,LM_Local-HAdd,1,-1,-1.0,109421008073,5,0,47,false
Blocksworld_ThirdQ,prob51,25,false,LM_Local_Smart-HAdd,1,-1,-1.0,111757139633,1271,141,47,false
Blocksworld_ThirdQ,prob51,25,true,GoalCount,1,-1,-1.0,52212132594,2326995,764211,164,false
Blocksworld_ThirdQ,prob51,25,true,HAdd,1,-1,-1.0,37576010962,424148,46861,164,false
Blocksworld_ThirdQ,prob51,25,true,LM_Count,1,-1,-1.0,19496739771,1330579,108586,164,false
Blocksworld_ThirdQ,prob51,25,true,LM_Local-HAdd,1,-1,-1.0,38935706111,5,0,47,false
Blocksworld_ThirdQ,prob51,25,true,LM_Local_Smart-HAdd,1,-1,-1.0,96973614660,14591,1071,47,false
Blocksworld_ThirdQ,prob52,25,false,GoalCount,1,-1,-1.0,106099692912,356198,151180,161,false
Blocksworld_ThirdQ,prob52,25,false,HAdd,1,-1,-1.0,63520126184,241078,22813,161,false
Blocksworld_ThirdQ,prob52,25,false,LM_Count,1,-1,-1.0,62661741287,265174,49167,161,false
Blocksworld_ThirdQ,prob52,25,false,LM_Local-HAdd,1,-1,-1.0,78798894968,291,10,46,false
Blocksworld_ThirdQ,prob52,25,false,LM_Local_Smart-HAdd,1,-1,-1.0,189697245912,257100,23953,46,false
Blocksworld_ThirdQ,prob52,25,true,GoalCount,1,-1,-1.0,53176146319,1989524,806020,161,false
Blocksworld_ThirdQ,prob52,25,true,HAdd,1,-1,-1.0,40393110612,431534,41190,161,false
Blocksworld_ThirdQ,prob52,25,true,LM_Count,1,-1,-1.0,27792030971,1055543,220438,161,false
Blocksworld_ThirdQ,prob52,25,true,LM_Local-HAdd,1,-1,-1.0,35007730737,94,7,46,false
Blocksworld_ThirdQ,prob52,25,true,LM_Local_Smart-HAdd,1,-1,-1.0,121692666900,158164,14569,46,false
Blocksworld_ThirdQ,prob53,26,false,GoalCount,1,-1,-1.0,102882674688,451175,135166,162,false
Blocksworld_ThirdQ,prob53,26,false,HAdd,1,-1,-1.0,60607616456,231135,19330,162,false
Blocksworld_ThirdQ,prob53,26,false,LM_Count,1,-1,-1.0,55714411576,311251,24504,162,false
Blocksworld_ThirdQ,prob53,26,false,LM_Local-HAdd,1,-1,-1.0,59670546824,6,1,48,false
Blocksworld_ThirdQ,prob53,26,false,LM_Local_Smart-HAdd,1,-1,-1.0,424914000648,119,22,48,false
Blocksworld_ThirdQ,prob53,26,true,GoalCount,1,-1,-1.0,50868759223,2388884,714026,162,false
Blocksworld_ThirdQ,prob53,26,true,HAdd,1,-1,-1.0,37510069524,397880,33075,162,false
Blocksworld_ThirdQ,prob53,26,true,LM_Count,1,-1,-1.0,22909070858,1350243,112281,162,false
