domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Grid,prob01,38,false,GoalCount,1,-1,-1.0,172814471760,986,485,73,false
Grid,prob01,38,false,HAdd,1,17,41.6504299,41431658496,311,115,73,true
Grid,prob01,38,false,HAdd,2,17,41.4922683,41431658496,311,115,73,true
Grid,prob01,38,false,HAdd,3,17,42.0628018,41431658496,311,115,73,true
Grid,prob01,38,false,LM_Count,1,-1,-1.0,169724348464,1310,475,73,false
Grid,prob01,38,false,LM_Local-HAdd,1,-1,-1.0,233145499104,1363,416,19,false
Grid,prob01,38,false,LM_Local_Smart-HAdd,1,-1,-1.0,162773217392,1234,455,19,true
Grid,prob01,38,true,GoalCount,1,-1,-1.0,68164052034,575,287,74,false
Grid,prob01,38,true,HAdd,1,14,48.2824253,17828908743,175,73,74,true
Grid,prob01,38,true,HAdd,2,14,45.1496421,17796769272,175,73,74,true
Grid,prob01,38,true,HAdd,3,14,45.4197051,17796769272,175,73,74,true
Grid,prob01,38,true,HAdd,4,14,45.4956008,17796769272,175,73,74,true
Grid,prob01,38,true,LM_Count,1,-1,-1.0,65958309738,846,284,74,false
Grid,prob01,38,true,LM_Local-HAdd,1,-1,-1.0,101825758225,171,9,18,false
Grid,prob01,38,true,LM_Local_Smart-HAdd,1,-1,-1.0,68902803717,756,288,20,true
Grid,prob02,50,false,GoalCount,1,-1,-1.0,167611170848,447,209,67,false
Grid,prob02,50,false,HAdd,1,-1,-1.0,169451656256,681,210,67,false
Grid,prob02,50,false,LM_Count,1,-1,-1.0,171096661888,590,213,67,false
Grid,prob02,50,false,LM_Local-HAdd,1,-1,-1.0,366182244752,14,7,11,false
Grid,prob02,50,false,LM_Local_Smart-HAdd,1,-1,-1.0,163943256288,666,203,13,false
Grid,prob02,50,true,GoalCount,1,-1,-1.0,54528452766,169,77,68,false
Grid,prob02,50,true,HAdd,1,-1,-1.0,56124898567,260,78,68,false
Grid,prob02,50,true,LM_Count,1,-1,-1.0,54857993402,226,78,68,false
Grid,prob02,50,true,LM_Local-HAdd,1,-1,-1.0,158533767169,7,2,13,false
Grid,prob02,50,true,LM_Local_Smart-HAdd,1,-1,-1.0,56209838838,260,78,14,false
Grid,prob03,64,false,GoalCount,1,-1,-1.0,167702601168,287,104,98,false
Grid,prob03,64,false,HAdd,1,-1,-1.0,174409112352,327,107,98,false
Grid,prob03,64,false,LM_Count,1,-1,-1.0,166251658816,274,103,98,false
Grid,prob03,64,false,LM_Local-HAdd,1,-1,-1.0,435863490592,7,2,19,false
Grid,prob03,64,false,LM_Local_Smart-HAdd,1,-1,-1.0,174717900160,327,107,20,false
Grid,prob03,64,true,GoalCount,1,-1,-1.0,45563962186,59,24,99,false
Grid,prob03,64,true,HAdd,1,-1,-1.0,47660215047,40,24,99,false
Grid,prob03,64,true,LM_Count,1,-1,-1.0,45622716866,63,24,99,false
Grid,prob03,64,true,LM_Local-HAdd,1,-1,-1.0,81997919329,6,2,19,false
Grid,prob03,64,true,LM_Local_Smart-HAdd,1,-1,-1.0,47880189526,40,24,19,false
Grid,prob04,80,false,GoalCount,1,-1,-1.0,169584267472,106,57,103,false
Grid,prob04,80,false,HAdd,1,-1,-1.0,169932622592,142,56,103,false
Grid,prob04,80,false,LM_Count,1,-1,-1.0,163724883688,121,55,103,false
Grid,prob04,80,false,LM_Local-HAdd,1,-1,-1.0,905337957200,22,11,21,false
Grid,prob04,80,false,LM_Local_Smart-HAdd,1,-1,-1.0,164485919888,137,54,22,false
Grid,prob04,80,true,GoalCount,1,-1,-1.0,41718848326,18,9,104,false
Grid,prob04,80,true,HAdd,1,-1,-1.0,45387605443,19,9,104,false
Grid,prob04,80,true,LM_Count,1,-1,-1.0,41675281490,19,9,104,false
Grid,prob04,80,true,LM_Local-HAdd,1,-1,-1.0,332808430593,17,8,24,false
Grid,prob04,80,true,LM_Local_Smart-HAdd,1,-1,-1.0,45869335494,19,9,22,false
Grid,prob05,98,false,GoalCount,1,-1,-1.0,164317781680,52,32,176,false
Grid,prob05,98,false,HAdd,1,-1,-1.0,175067916832,60,33,176,false
Grid,prob05,98,false,LM_Count,1,-1,-1.0,159242966304,56,31,176,false
Grid,prob05,98,false,LM_Local-HAdd,1,-1,-1.0,807281916992,7,2,36,false
Grid,prob05,98,false,LM_Local_Smart-HAdd,1,-1,-1.0,161040432352,54,30,31,false
Grid,prob05,98,true,GoalCount,1,-1,-1.0,31274477717,8,3,177,false
Grid,prob05,98,true,HAdd,1,-1,-1.0,47986435991,10,4,177,false
Grid,prob05,98,true,LM_Count,1,-1,-1.0,41637819234,11,4,177,false
Grid,prob05,98,true,LM_Local-HAdd,1,-1,-1.0,235769880785,10,4,36,false
Grid,prob05,98,true,LM_Local_Smart-HAdd,1,-1,-1.0,49484795286,10,4,36,false
