domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Logistics,prob1,15,false,GoalCount,1,20,164.6304354,124003301072,106575,73944,45,true
Logistics,prob1,15,false,GoalCount,2,20,164.5400344,124003301072,106575,73944,45,true
Logistics,prob1,15,false,GoalCount,3,20,165.010684,124003301072,106575,73944,45,true
Logistics,prob1,15,false,HAdd,1,22,0.3457586,245054288,579,132,45,true
Logistics,prob1,15,false,HAdd,2,22,0.3509984,245054288,579,132,45,true
Logistics,prob1,15,false,HAdd,3,22,0.3542734,245054288,579,132,45,true
Logistics,prob1,15,false,LM_Count,1,-1,-1.0,119804002208,85708,69278,45,false
Logistics,prob1,15,false,LM_Local-HAdd,1,22,2.606473,1650433216,579,0,19,true
Logistics,prob1,15,false,LM_Local-HAdd,2,22,2.3332711,1650351120,579,0,19,true
Logistics,prob1,15,false,LM_Local-HAdd,3,22,2.2841152,1650416704,579,0,19,true
Logistics,prob1,15,false,LM_Local_Smart-HAdd,1,21,12.4140483,8747907832,10768,0,19,true
Logistics,prob1,15,false,LM_Local_Smart-HAdd,2,21,12.35663,8747908408,10768,0,19,true
Logistics,prob1,15,false,LM_Local_Smart-HAdd,3,21,12.4588114,8747907832,10768,0,19,true
Logistics,prob1,15,true,GoalCount,1,20,9.5455897,2141135455,106495,73905,45,true
Logistics,prob1,15,true,GoalCount,2,20,7.7878473,2064496672,106495,73905,45,true
Logistics,prob1,15,true,GoalCount,3,20,7.7809595,2064496672,106495,73905,45,true
Logistics,prob1,15,true,GoalCount,4,20,7.7929687,2064496672,106495,73905,45,true
Logistics,prob1,15,true,HAdd,1,22,0.4743707,35620022,309,58,45,true
Logistics,prob1,15,true,HAdd,2,22,0.0212628,5565344,309,58,45,true
Logistics,prob1,15,true,HAdd,3,22,0.0205009,5565344,309,58,45,true
Logistics,prob1,15,true,HAdd,4,22,0.020236,5565344,309,58,45,true
Logistics,prob1,15,true,LM_Count,1,20,23.102382,5461526827,198964,164165,45,true
Logistics,prob1,15,true,LM_Count,2,26,0.9202515,204118592,12578,6609,45,true
Logistics,prob1,15,true,LM_Count,3,23,0.0620151,12727752,1233,394,45,true
Logistics,prob1,15,true,LM_Count,4,23,0.0626705,12617328,1233,394,45,true
Logistics,prob1,15,true,LM_Local-HAdd,1,22,0.5875845,108733163,309,0,19,true
Logistics,prob1,15,true,LM_Local-HAdd,2,22,0.3492312,88602160,309,0,19,true
Logistics,prob1,15,true,LM_Local-HAdd,3,22,0.3465783,87160064,309,0,19,true
Logistics,prob1,15,true,LM_Local-HAdd,4,22,0.3496561,87259136,309,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,1,24,1.074018,202387056,6995,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,2,24,0.9091938,194935432,6995,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,3,24,0.9030221,194918984,6995,0,19,true
Logistics,prob1,15,true,LM_Local_Smart-HAdd,4,24,0.9085079,194918984,6995,0,19,true
Logistics,prob2,15,false,GoalCount,1,19,115.5443151,88494662896,79043,52738,41,true
Logistics,prob2,15,false,GoalCount,2,19,115.254705,88494662896,79043,52738,41,true
Logistics,prob2,15,false,GoalCount,3,19,115.0707711,88494662896,79043,52738,41,true
Logistics,prob2,15,false,HAdd,1,19,0.2285511,159701232,364,86,41,true
Logistics,prob2,15,false,HAdd,2,19,0.2403564,159701232,364,86,41,true
Logistics,prob2,15,false,HAdd,3,19,0.2413903,159701232,364,86,41,true
Logistics,prob2,15,false,LM_Count,1,-1,-1.0,117488236256,111344,67743,41,false
Logistics,prob2,15,false,LM_Local-HAdd,1,19,1.5422974,899761264,364,0,17,true
Logistics,prob2,15,false,LM_Local-HAdd,2,19,1.2875839,869680992,364,0,17,true
Logistics,prob2,15,false,LM_Local-HAdd,3,19,1.32284,869862624,364,0,17,true
Logistics,prob2,15,false,LM_Local_Smart-HAdd,1,21,2.6643962,1890612008,3297,327,17,true
Logistics,prob2,15,false,LM_Local_Smart-HAdd,2,21,2.7066997,1890612008,3297,327,17,true
Logistics,prob2,15,false,LM_Local_Smart-HAdd,3,21,2.7026948,1890611624,3297,327,17,true
Logistics,prob2,15,true,GoalCount,1,19,7.2468718,1546011204,79045,52739,41,true
Logistics,prob2,15,true,GoalCount,2,19,5.4918509,1473599520,79045,52739,41,true
Logistics,prob2,15,true,GoalCount,3,19,5.5088443,1473599520,79045,52739,41,true
Logistics,prob2,15,true,GoalCount,4,19,5.4776995,1473599520,79045,52739,41,true
Logistics,prob2,15,true,HAdd,1,21,0.4635149,35445174,288,53,41,true
Logistics,prob2,15,true,HAdd,2,21,0.0195307,5390304,288,53,41,true
Logistics,prob2,15,true,HAdd,3,21,0.0217937,5390304,288,53,41,true
Logistics,prob2,15,true,HAdd,4,21,0.0192799,5390304,288,53,41,true
Logistics,prob2,15,true,LM_Count,1,19,24.534343,5689993315,231955,173114,41,true
Logistics,prob2,15,true,LM_Count,2,23,0.0271061,5213808,620,147,41,true
Logistics,prob2,15,true,LM_Count,3,23,0.0244589,4535968,559,133,41,true
Logistics,prob2,15,true,LM_Count,4,23,0.0254341,4535968,559,133,41,true
Logistics,prob2,15,true,LM_Local-HAdd,1,21,0.6000032,112953387,288,0,17,true
Logistics,prob2,15,true,LM_Local-HAdd,2,21,0.3447202,90635312,288,0,17,true
Logistics,prob2,15,true,LM_Local-HAdd,3,21,0.3544429,90963232,288,0,17,true
Logistics,prob2,15,true,LM_Local-HAdd,4,21,0.358372,90963232,288,0,17,true
Logistics,prob2,15,true,LM_Local_Smart-HAdd,1,23,1.530023,322317280,13747,2907,17,true
Logistics,prob2,15,true,LM_Local_Smart-HAdd,2,23,1.2774156,314836840,13747,2907,17,true
Logistics,prob2,15,true,LM_Local_Smart-HAdd,3,23,1.3067248,314836856,13747,2907,17,true
Logistics,prob2,15,true,LM_Local_Smart-HAdd,4,23,1.2862977,314836936,13747,2907,17,true
Logistics,prob3,15,false,GoalCount,1,15,28.011115,22756902096,21870,13525,33,true
Logistics,prob3,15,false,GoalCount,2,15,27.9646056,22756902096,21870,13525,33,true
Logistics,prob3,15,false,GoalCount,3,15,28.0463021,22756902096,21870,13525,33,true
Logistics,prob3,15,false,HAdd,1,15,0.0460961,30264192,84,15,33,true
Logistics,prob3,15,false,HAdd,2,15,0.047843,30264192,84,15,33,true
Logistics,prob3,15,false,HAdd,3,15,0.0481459,30264192,84,15,33,true
Logistics,prob3,15,false,LM_Count,1,15,25.0197184,18298118248,17415,10401,33,true
Logistics,prob3,15,false,LM_Count,2,17,0.5559466,356445440,614,177,33,true
Logistics,prob3,15,false,LM_Count,3,17,0.5479855,358458032,614,177,33,true
Logistics,prob3,15,false,LM_Local-HAdd,1,15,0.3376683,202955456,84,0,13,true
Logistics,prob3,15,false,LM_Local-HAdd,2,15,0.3234782,203148448,84,0,13,true
Logistics,prob3,15,false,LM_Local-HAdd,3,15,0.35693,203021040,84,0,13,true
Logistics,prob3,15,false,LM_Local_Smart-HAdd,1,18,1.8072842,1320370960,1908,384,13,true
Logistics,prob3,15,false,LM_Local_Smart-HAdd,2,18,1.7838414,1320370960,1908,384,13,true
Logistics,prob3,15,false,LM_Local_Smart-HAdd,3,18,1.778726,1320366736,1908,384,13,true
Logistics,prob3,15,true,GoalCount,1,15,2.8675486,450154681,21836,13512,33,true
Logistics,prob3,15,true,GoalCount,2,15,1.4038877,378957472,21836,13512,33,true
Logistics,prob3,15,true,GoalCount,3,15,1.3820679,378957472,21836,13512,33,true
