domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Logistics,prob21,29,false,GoalCount,1,-1,-1.0,142736632416,135597,35348,95,false
Logistics,prob21,29,false,HAdd,1,50,12.2815779,8986923432,16671,2167,95,true
Logistics,prob21,29,false,HAdd,2,50,12.5578411,8986923432,16671,2167,95,true
Logistics,prob21,29,false,HAdd,3,50,12.4395897,8986923432,16671,2167,95,true
Logistics,prob21,29,false,LM_Count,1,-1,-1.0,107862718528,165940,28217,95,false
Logistics,prob21,29,false,LM_Local-HAdd,1,-1,-1.0,112260154472,9434,1221,38,false
Logistics,prob21,29,false,LM_Local_Smart-HAdd,1,-1,-1.0,129484740152,135246,31109,38,false
Logistics,prob21,29,true,GoalCount,1,-1,-1.0,34830802048,1402007,443268,95,false
Logistics,prob21,29,true,HAdd,1,49,5.3427426,907414904,26257,3545,95,true
Logistics,prob21,29,true,HAdd,2,49,4.7021198,877364176,26257,3545,95,true
Logistics,prob21,29,true,HAdd,3,49,4.6555394,877364176,26257,3545,95,true
Logistics,prob21,29,true,HAdd,4,49,4.7364295,877364176,26257,3545,95,true
Logistics,prob21,29,true,LM_Count,1,-1,-1.0,28295269411,1398102,274012,95,false
Logistics,prob21,29,true,LM_Local-HAdd,1,-1,-1.0,4936218046,18881,2551,38,false
Logistics,prob21,29,true,LM_Local_Smart-HAdd,1,-1,-1.0,36153376123,782344,229080,38,false
Logistics,prob22,29,false,GoalCount,1,-1,-1.0,144590636608,106942,36041,143,false
Logistics,prob22,29,false,HAdd,1,84,5.2739552,3736468360,7705,844,143,true
Logistics,prob22,29,false,HAdd,2,84,5.2479279,3736468360,7705,844,143,true
Logistics,prob22,29,false,HAdd,3,84,5.2993043,3736468360,7705,844,143,true
Logistics,prob22,29,false,LM_Count,1,-1,-1.0,98533632032,176878,24868,143,false
Logistics,prob22,29,false,LM_Local-HAdd,1,85,143.8536556,78961940128,2909,0,62,true
Logistics,prob22,29,false,LM_Local-HAdd,2,85,141.2867979,81324978496,2909,11,62,true
Logistics,prob22,29,false,LM_Local-HAdd,3,85,139.6562418,81303087840,2909,11,62,true
Logistics,prob22,29,false,LM_Local_Smart-HAdd,1,-1,-1.0,123570000504,191629,29279,62,false
Logistics,prob22,29,true,GoalCount,1,-1,-1.0,36348917200,1065086,454029,143,false
Logistics,prob22,29,true,HAdd,1,83,1.535385,182630216,4578,389,143,true
Logistics,prob22,29,true,HAdd,2,83,0.7777543,152573616,4578,389,143,true
Logistics,prob22,29,true,HAdd,3,83,0.7733107,152573616,4578,389,143,true
Logistics,prob22,29,true,HAdd,4,83,0.7777878,152573616,4578,389,143,true
Logistics,prob22,29,true,LM_Count,1,-1,-1.0,24951217323,1480598,200275,143,false
Logistics,prob22,29,true,LM_Local-HAdd,1,83,81.130342,10764624534,4578,0,62,true
Logistics,prob22,29,true,LM_Local-HAdd,2,83,44.3950853,10690892120,4578,0,62,true
Logistics,prob22,29,true,LM_Local-HAdd,3,83,44.2115774,10679030632,4578,0,62,true
