domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Miconic,prob61,39,false,GoalCount,1,-1,-1.0,111373669378,51255,21062,13,false
Miconic,prob61,39,false,HAdd,1,42,1.9092784,412739388,547,51,13,true
Miconic,prob61,39,false,HAdd,2,42,0.5391582,302130904,547,51,13,true
Miconic,prob61,39,false,HAdd,3,42,0.4823543,302130904,547,51,13,true
Miconic,prob61,39,false,LM_Count,1,-1,-1.0,101285258828,30775,14940,13,false
Miconic,prob61,39,false,LM_Local-HAdd,1,42,1.3596569,392687678,547,14,1,true
Miconic,prob61,39,false,LM_Local-HAdd,2,42,0.4799602,304381656,547,14,1,true
Miconic,prob61,39,false,LM_Local-HAdd,3,42,0.4863474,304381656,547,14,1,true
Miconic,prob61,39,false,LM_Local_Smart-HAdd,1,42,1.0802729,346407515,547,39,1,true
Miconic,prob61,39,false,LM_Local_Smart-HAdd,2,42,0.4867077,304385128,547,39,1,true
Miconic,prob61,39,false,LM_Local_Smart-HAdd,3,42,0.4979745,304385128,547,39,1,true
Miconic,prob61,39,true,GoalCount,1,-1,-1.0,56328607330,1130143,694595,13,false
Miconic,prob61,39,true,HAdd,1,44,0.5598696,72945342,599,65,13,true
Miconic,prob61,39,true,HAdd,2,44,0.1034658,41285368,599,65,13,true
Miconic,prob61,39,true,HAdd,3,44,0.1047784,41285368,599,65,13,true
Miconic,prob61,39,true,HAdd,4,44,0.1044026,41285368,599,65,13,true
Miconic,prob61,39,true,LM_Count,1,-1,-1.0,43434749385,699052,498631,13,false
Miconic,prob61,39,true,LM_Local-HAdd,1,44,0.3271916,68147985,599,32,1,true
Miconic,prob61,39,true,LM_Local-HAdd,2,44,0.1030198,43295384,599,32,1,true
Miconic,prob61,39,true,LM_Local-HAdd,3,44,0.1054371,43295384,599,32,1,true
Miconic,prob61,39,true,LM_Local-HAdd,4,44,0.1077803,43295384,599,32,1,true
Miconic,prob61,39,true,LM_Local_Smart-HAdd,1,44,0.2811226,50763358,599,4,1,true
Miconic,prob61,39,true,LM_Local_Smart-HAdd,2,44,0.1040867,43299272,599,4,1,true
Miconic,prob61,39,true,LM_Local_Smart-HAdd,3,44,0.1087121,43299272,599,4,1,true
Miconic,prob61,39,true,LM_Local_Smart-HAdd,4,44,0.1084337,43299272,599,4,1,true
Miconic,prob62,39,false,GoalCount,1,-1,-1.0,116889515168,45293,22112,13,false
Miconic,prob62,39,false,HAdd,1,42,0.5121547,323633480,573,55,13,true
Miconic,prob62,39,false,HAdd,2,42,0.520345,323633480,573,55,13,true
Miconic,prob62,39,false,HAdd,3,42,0.5260408,323633480,573,55,13,true
