domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Miconic,prob21,15,false,GoalCount,1,14,1.1511671,804312032,946,797,5,true
Miconic,prob21,15,false,GoalCount,2,14,1.0640655,804312032,946,797,5,true
Miconic,prob21,15,false,GoalCount,3,14,1.0651625,804312032,946,797,5,true
Miconic,prob21,15,false,HAdd,1,18,0.0333262,21859440,91,19,5,true
Miconic,prob21,15,false,HAdd,2,18,0.0341848,21859440,91,19,5,true
Miconic,prob21,15,false,HAdd,3,18,0.0355952,21859440,91,19,5,true
Miconic,prob21,15,false,LM_Count,1,14,1.9365402,1270857776,1127,1110,5,true
Miconic,prob21,15,false,LM_Count,2,14,2.1506901,1336549264,1127,1110,5,true
Miconic,prob21,15,false,LM_Count,3,14,2.1439506,1336549264,1127,1110,5,true
Miconic,prob21,15,false,LM_Local-HAdd,1,18,0.0325318,22370256,91,12,1,true
Miconic,prob21,15,false,LM_Local-HAdd,2,18,0.0338497,22370256,91,12,1,true
Miconic,prob21,15,false,LM_Local-HAdd,3,18,0.0787557,22370256,91,12,1,true
Miconic,prob21,15,false,LM_Local_Smart-HAdd,1,18,0.0372014,22370176,91,6,1,true
Miconic,prob21,15,false,LM_Local_Smart-HAdd,2,18,0.036466,22370176,91,6,1,true
Miconic,prob21,15,false,LM_Local_Smart-HAdd,3,18,0.0368815,22370176,91,6,1,true
Miconic,prob21,15,true,GoalCount,1,14,0.7864772,65982947,946,795,5,true
Miconic,prob21,15,true,GoalCount,2,14,0.0275641,17799504,946,795,5,true
Miconic,prob21,15,true,GoalCount,3,14,0.0293091,17799504,946,795,5,true
Miconic,prob21,15,true,GoalCount,4,14,0.0285969,17799504,946,795,5,true
Miconic,prob21,15,true,HAdd,1,16,0.4557468,33672579,81,21,5,true
Miconic,prob21,15,true,HAdd,2,16,0.0056621,3060464,81,21,5,true
Miconic,prob21,15,true,HAdd,3,16,0.0057432,3060464,81,21,5,true
Miconic,prob21,15,true,HAdd,4,16,0.0056195,3060464,81,21,5,true
Miconic,prob21,15,true,LM_Count,1,14,0.2655836,35795234,1134,1113,5,true
Miconic,prob21,15,true,LM_Count,2,14,0.0543488,25690384,1134,1113,5,true
Miconic,prob21,15,true,LM_Count,3,14,0.0541854,25690384,1134,1113,5,true
Miconic,prob21,15,true,LM_Count,4,14,0.0563302,25690384,1134,1113,5,true
Miconic,prob21,15,true,LM_Local-HAdd,1,16,0.1970595,24620385,81,15,1,true
Miconic,prob21,15,true,LM_Local-HAdd,2,16,0.0073503,3417872,81,15,1,true
Miconic,prob21,15,true,LM_Local-HAdd,3,16,0.009309,3417872,81,15,1,true
Miconic,prob21,15,true,LM_Local-HAdd,4,16,0.0079683,3417872,81,15,1,true
Miconic,prob21,15,true,LM_Local_Smart-HAdd,1,16,0.1859128,10900872,81,12,1,true
Miconic,prob21,15,true,LM_Local_Smart-HAdd,2,16,0.0074052,3421840,81,12,1,true
Miconic,prob21,15,true,LM_Local_Smart-HAdd,3,16,0.0070673,3421840,81,12,1,true
Miconic,prob21,15,true,LM_Local_Smart-HAdd,4,16,0.0076735,3421840,81,12,1,true
Miconic,prob22,15,false,GoalCount,1,15,1.7129417,1250587792,1342,1237,5,true
Miconic,prob22,15,false,GoalCount,2,15,1.6897969,1250587792,1342,1237,5,true
Miconic,prob22,15,false,GoalCount,3,15,1.6695612,1250587792,1342,1237,5,true
Miconic,prob22,15,false,HAdd,1,17,0.0320288,20919024,91,18,5,true
Miconic,prob22,15,false,HAdd,2,17,0.0325473,20919024,91,18,5,true
Miconic,prob22,15,false,HAdd,3,17,0.0345888,20919024,91,18,5,true
Miconic,prob22,15,false,LM_Count,1,15,2.4348612,1599723456,1426,1399,5,true
Miconic,prob22,15,false,LM_Count,2,15,2.7148178,1684509728,1426,1399,5,true
Miconic,prob22,15,false,LM_Count,3,15,2.719094,1684509728,1426,1399,5,true
Miconic,prob22,15,false,LM_Local-HAdd,1,17,0.0311224,20380064,91,14,1,true
Miconic,prob22,15,false,LM_Local-HAdd,2,17,0.0316517,20380064,91,14,1,true
Miconic,prob22,15,false,LM_Local-HAdd,3,17,0.034458,20380064,91,14,1,true
Miconic,prob22,15,false,LM_Local_Smart-HAdd,1,17,0.0345899,20382192,91,0,1,true
Miconic,prob22,15,false,LM_Local_Smart-HAdd,2,17,0.0340837,20382192,91,0,1,true
Miconic,prob22,15,false,LM_Local_Smart-HAdd,3,17,0.0333027,20382192,91,0,1,true
Miconic,prob22,15,true,GoalCount,1,15,0.8237254,75680627,1342,1233,5,true
Miconic,prob22,15,true,GoalCount,2,15,0.042695,27556288,1342,1233,5,true
Miconic,prob22,15,true,GoalCount,3,15,0.0464246,27556288,1342,1233,5,true
Miconic,prob22,15,true,GoalCount,4,15,0.0449059,27556288,1342,1233,5,true
Miconic,prob22,15,true,HAdd,1,17,0.4608971,33850627,91,22,5,true
Miconic,prob22,15,true,HAdd,2,17,0.0065549,3166160,91,22,5,true
Miconic,prob22,15,true,HAdd,3,17,0.0058768,3166160,91,22,5,true
Miconic,prob22,15,true,HAdd,4,17,0.0061573,3166160,91,22,5,true
Miconic,prob22,15,true,LM_Count,1,15,0.2826993,42796994,1433,1402,5,true
Miconic,prob22,15,true,LM_Count,2,15,0.0671478,32320368,1433,1402,5,true
Miconic,prob22,15,true,LM_Count,3,15,0.0698081,32320368,1433,1402,5,true
Miconic,prob22,15,true,LM_Count,4,15,0.0677707,32320368,1433,1402,5,true
Miconic,prob22,15,true,LM_Local-HAdd,1,17,0.2002749,24776273,91,5,1,true
Miconic,prob22,15,true,LM_Local-HAdd,2,17,0.0070654,3524016,91,5,1,true
Miconic,prob22,15,true,LM_Local-HAdd,3,17,0.0068321,3524016,91,5,1,true
Miconic,prob22,15,true,LM_Local-HAdd,4,17,0.0069715,3524016,91,5,1,true
Miconic,prob22,15,true,LM_Local_Smart-HAdd,1,17,0.1863161,10995832,91,5,1,true
