domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Miconic,prob41,27,false,GoalCount,1,-1,-1.0,115184056560,50893,41471,9,false
Miconic,prob41,27,false,HAdd,1,32,0.1880139,111796176,289,35,9,true
Miconic,prob41,27,false,HAdd,2,32,0.1968379,111796176,289,35,9,true
Miconic,prob41,27,false,HAdd,3,32,0.1971171,111796176,289,35,9,true
Miconic,prob41,27,false,LM_Count,1,-1,-1.0,102170547952,43177,31219,9,false
Miconic,prob41,27,false,LM_Local-HAdd,1,32,0.1993214,113121952,289,27,1,true
Miconic,prob41,27,false,LM_Local-HAdd,2,32,0.1863322,113121952,289,27,1,true
Miconic,prob41,27,false,LM_Local-HAdd,3,32,0.1996462,113121952,289,27,1,true
Miconic,prob41,27,false,LM_Local_Smart-HAdd,1,32,0.2355796,113125872,289,15,1,true
Miconic,prob41,27,false,LM_Local_Smart-HAdd,2,32,0.2027248,113125872,289,15,1,true
Miconic,prob41,27,false,LM_Local_Smart-HAdd,3,32,0.1999316,113125872,289,15,1,true
Miconic,prob41,27,true,GoalCount,1,26,10.7617051,4155158940,92676,89106,9,true
Miconic,prob41,27,true,GoalCount,2,26,9.9094765,4106995888,92676,89106,9,true
Miconic,prob41,27,true,GoalCount,3,26,9.9460042,4106995888,92676,89106,9,true
Miconic,prob41,27,true,GoalCount,4,26,9.8805839,4106995888,92676,89106,9,true
Miconic,prob41,27,true,HAdd,1,32,0.5141962,48339169,289,46,9,true
Miconic,prob41,27,true,HAdd,2,32,0.0391351,17712640,289,46,9,true
Miconic,prob41,27,true,HAdd,3,32,0.0383469,17712640,289,46,9,true
Miconic,prob41,27,true,HAdd,4,32,0.0386241,17712640,289,46,9,true
Miconic,prob41,27,true,LM_Count,1,26,14.377625,4687067746,97125,96996,9,true
Miconic,prob41,27,true,LM_Count,2,26,14.4074882,4533785808,97125,96996,9,true
Miconic,prob41,27,true,LM_Count,3,26,14.3901922,4533785808,97125,96996,9,true
Miconic,prob41,27,true,LM_Count,4,26,14.3701747,4533785808,97125,96996,9,true
Miconic,prob41,27,true,LM_Local-HAdd,1,32,0.2619415,40069937,289,20,1,true
Miconic,prob41,27,true,LM_Local-HAdd,2,32,0.0417027,18882704,289,20,1,true
Miconic,prob41,27,true,LM_Local-HAdd,3,32,0.0404202,18882704,289,20,1,true
Miconic,prob41,27,true,LM_Local-HAdd,4,32,0.0417466,18882704,289,20,1,true
Miconic,prob41,27,true,LM_Local_Smart-HAdd,1,32,0.2198015,26350296,289,7,1,true
Miconic,prob41,27,true,LM_Local_Smart-HAdd,2,32,0.0438769,18886048,289,7,1,true
Miconic,prob41,27,true,LM_Local_Smart-HAdd,3,32,0.0410591,18886048,289,7,1,true
Miconic,prob41,27,true,LM_Local_Smart-HAdd,4,32,0.0418338,18886048,289,7,1,true
Miconic,prob42,27,false,GoalCount,1,-1,-1.0,116116033408,56466,42028,9,false
Miconic,prob42,27,false,HAdd,1,29,0.174889,103003504,271,32,9,true
Miconic,prob42,27,false,HAdd,2,29,0.1761966,103003504,271,32,9,true
Miconic,prob42,27,false,HAdd,3,29,0.1702893,103003504,271,32,9,true
Miconic,prob42,27,false,LM_Count,1,-1,-1.0,102589310064,45526,30459,9,false
Miconic,prob42,27,false,LM_Local-HAdd,1,29,0.1913332,104325056,271,9,1,true
Miconic,prob42,27,false,LM_Local-HAdd,2,29,0.1638007,104325056,271,9,1,true
Miconic,prob42,27,false,LM_Local-HAdd,3,29,0.1728869,104325056,271,9,1,true
Miconic,prob42,27,false,LM_Local_Smart-HAdd,1,29,0.1934673,104328528,271,12,1,true
Miconic,prob42,27,false,LM_Local_Smart-HAdd,2,29,0.1775488,104328528,271,12,1,true
Miconic,prob42,27,false,LM_Local_Smart-HAdd,3,29,0.181212,104328528,271,12,1,true
Miconic,prob42,27,true,GoalCount,1,24,11.3491211,4380133308,103501,94001,9,true
Miconic,prob42,27,true,GoalCount,2,24,10.517428,4332025808,103501,94001,9,true
Miconic,prob42,27,true,GoalCount,3,24,10.6183083,4332025808,103501,94001,9,true
Miconic,prob42,27,true,GoalCount,4,24,10.5115766,4332025808,103501,94001,9,true
Miconic,prob42,27,true,HAdd,1,33,0.50724,48357777,307,43,9,true
Miconic,prob42,27,true,HAdd,2,33,0.0401106,17746864,307,43,9,true
Miconic,prob42,27,true,HAdd,3,33,0.0380698,17746864,307,43,9,true
Miconic,prob42,27,true,HAdd,4,33,0.039277,17746864,307,43,9,true
Miconic,prob42,27,true,LM_Count,1,24,17.3828819,5653149467,117380,117136,9,true
Miconic,prob42,27,true,LM_Count,2,24,17.4360905,5473275680,117380,117136,9,true
Miconic,prob42,27,true,LM_Count,3,24,17.4075741,5473275680,117380,117136,9,true
Miconic,prob42,27,true,LM_Count,4,24,17.3482966,5473275680,117380,117136,9,true
Miconic,prob42,27,true,LM_Local-HAdd,1,33,0.2647277,40099585,307,7,1,true
Miconic,prob42,27,true,LM_Local-HAdd,2,33,0.0397006,18916576,307,7,1,true
Miconic,prob42,27,true,LM_Local-HAdd,3,33,0.0436151,18916576,307,7,1,true
Miconic,prob42,27,true,LM_Local-HAdd,4,33,0.0410223,18916576,307,7,1,true
Miconic,prob42,27,true,LM_Local_Smart-HAdd,1,33,0.2221475,26387720,307,38,1,true
Miconic,prob42,27,true,LM_Local_Smart-HAdd,2,33,0.0410535,18919248,307,38,1,true
Miconic,prob42,27,true,LM_Local_Smart-HAdd,3,33,0.0426869,18919248,307,38,1,true
Miconic,prob42,27,true,LM_Local_Smart-HAdd,4,33,0.041489,18919248,307,38,1,true
Miconic,prob43,27,false,GoalCount,1,-1,-1.0,115482586512,57956,41574,9,false
Miconic,prob43,27,false,HAdd,1,29,0.1965584,114888400,307,36,9,true
Miconic,prob43,27,false,HAdd,2,29,0.2072657,114888400,307,36,9,true
Miconic,prob43,27,false,HAdd,3,29,0.2074998,114888400,307,36,9,true
Miconic,prob43,27,false,LM_Count,1,-1,-1.0,102406538816,43697,30454,9,false
Miconic,prob43,27,false,LM_Local-HAdd,1,29,0.2116555,116214560,307,27,1,true
Miconic,prob43,27,false,LM_Local-HAdd,2,29,0.194817,116214560,307,27,1,true
Miconic,prob43,27,false,LM_Local-HAdd,3,29,0.2065238,116214560,307,27,1,true
Miconic,prob43,27,false,LM_Local_Smart-HAdd,1,29,0.209567,116214448,307,0,1,true
Miconic,prob43,27,false,LM_Local_Smart-HAdd,2,29,0.2077634,116214448,307,0,1,true
Miconic,prob43,27,false,LM_Local_Smart-HAdd,3,29,0.2054853,116214448,307,0,1,true
Miconic,prob43,27,true,GoalCount,1,24,12.6989549,4872038332,115690,104710,9,true
Miconic,prob43,27,true,GoalCount,2,24,11.8055847,4823852128,115690,104710,9,true
Miconic,prob43,27,true,GoalCount,3,24,11.7397513,4823852128,115690,104710,9,true
Miconic,prob43,27,true,GoalCount,4,24,11.7359186,4823852128,115690,104710,9,true
Miconic,prob43,27,true,HAdd,1,33,0.5143308,48412401,307,42,9,true
Miconic,prob43,27,true,HAdd,2,33,0.0397691,17802256,307,42,9,true
Miconic,prob43,27,true,HAdd,3,33,0.0390183,17802256,307,42,9,true
Miconic,prob43,27,true,HAdd,4,33,0.0388935,17802256,307,42,9,true
Miconic,prob43,27,true,LM_Count,1,24,19.1926838,6466829082,134382,134102,9,true
Miconic,prob43,27,true,LM_Count,2,24,19.4998937,6264595120,134382,134102,9,true
Miconic,prob43,27,true,LM_Count,3,24,19.5216077,6264595120,134382,134102,9,true
Miconic,prob43,27,true,LM_Count,4,24,19.4938766,6264595120,134382,134102,9,true
Miconic,prob43,27,true,LM_Local-HAdd,1,33,0.2391029,40195041,307,19,1,true
Miconic,prob43,27,true,LM_Local-HAdd,2,33,0.0408573,18971904,307,19,1,true
Miconic,prob43,27,true,LM_Local-HAdd,3,33,0.0511954,18971904,307,19,1,true
Miconic,prob43,27,true,LM_Local-HAdd,4,33,0.0429741,18971904,307,19,1,true
Miconic,prob43,27,true,LM_Local_Smart-HAdd,1,33,0.2208181,26445096,307,9,1,true
Miconic,prob43,27,true,LM_Local_Smart-HAdd,2,33,0.0427798,18975088,307,9,1,true
Miconic,prob43,27,true,LM_Local_Smart-HAdd,3,33,0.0421791,18975088,307,9,1,true
Miconic,prob43,27,true,LM_Local_Smart-HAdd,4,33,0.0434841,18975088,307,9,1,true
Miconic,prob44,27,false,GoalCount,1,28,159.8228689,111051898848,39332,39907,9,true
Miconic,prob44,27,false,GoalCount,2,28,159.4233495,111051898848,39332,39907,9,true
Miconic,prob44,27,false,GoalCount,3,28,159.4686881,111051898848,39332,39907,9,true
Miconic,prob44,27,false,HAdd,1,28,0.1596426,94690784,253,29,9,true
Miconic,prob44,27,false,HAdd,2,28,0.1772069,94690784,253,29,9,true
Miconic,prob44,27,false,HAdd,3,28,0.178785,94690784,253,29,9,true
Miconic,prob44,27,false,LM_Count,1,-1,-1.0,111115890208,37057,35078,9,false
Miconic,prob44,27,false,LM_Local-HAdd,1,28,0.1650183,96012432,253,14,1,true
Miconic,prob44,27,false,LM_Local-HAdd,2,28,0.1580138,96012432,253,14,1,true
Miconic,prob44,27,false,LM_Local-HAdd,3,28,0.1742116,96012432,253,14,1,true
Miconic,prob44,27,false,LM_Local_Smart-HAdd,1,28,0.1744913,96015232,253,22,1,true
Miconic,prob44,27,false,LM_Local_Smart-HAdd,2,28,0.1759346,96015232,253,22,1,true
Miconic,prob44,27,false,LM_Local_Smart-HAdd,3,28,0.1807031,96015232,253,22,1,true
Miconic,prob44,27,true,GoalCount,1,28,5.1369668,1884282396,39332,39905,9,true
Miconic,prob44,27,true,GoalCount,2,28,4.2737338,1836164528,39332,39905,9,true
Miconic,prob44,27,true,GoalCount,3,28,4.2389426,1836164528,39332,39905,9,true
Miconic,prob44,27,true,GoalCount,4,28,4.2356357,1836164528,39332,39905,9,true
Miconic,prob44,27,true,HAdd,1,28,0.4836968,47556177,253,36,9,true
